Shell,Usual environment,Usually invoked,Introduced,Platform-independent,Default login shell in,Default script shell in,License,Source code availability,User interface,Mouse support,Unicode support,ISO 8601 support,Console redirection,Stream redirection,Configurability,Startup/shutdown scripts,Batch scripts,Logging,"available as statically linked, independent single file executable"
Thompson shell,UNIX,sh,1971,,UNIX,UNIX,,,Text-based CLI,,,,,,,,,,
Bourne shell 1977 version,7th Ed. UNIX,sh,1977,Yes[1],7th Ed. UNIX,"7th Ed. UNIX,",Proprietary[2],,Text-based CLI,,,,,Yes (arbitrary fds),Yes (via variables and options),Yes (.profile),Yes (Unix feature),,
Bourne shell current version,Various UNIX,sh,1977,Yes[3],"SunOS-5.x, FreeBSD (non-root user)[4]",SunOS-5.x,CDDL[5]date=April 2015,,Text-based CLI,,date=April 2015,,,Yes (arbitrary fds),Yes (via variables and options),Yes (.profile),Yes (Unix feature),,
POSIX shell[8],POSIX,sh,1992[9],,,POSIX,,,Text-based CLI,,"Yes, if used by configured locale",,,Yes (arbitrary fds),Yes (via variables and options),Unspecified (.profile given as an example),Yes (Unix feature),,
bash (v4),POSIX,"bash, sh",1989[10],,"GNU, Linux (default for root), macOS 10.3–10.14","GNU, Linux, Haiku, macOS 10.3–10.14",GPL,,Text-based CLI,,"reason=Unicode escape is just a small part of Unicode support. There's also editing and string handling. This works in bash 4.3.33, but needs a source.date=May 2015",Yes (printf builtin),,Yes (arbitrary fds),Yes (via variables and options),"Yes (/etc/profile, .bash_profile, .bash_login, .profile, .bashrc)",Yes (Unix feature),,
csh,POSIX,csh,1978,,SunOS,,BSD,,Text-based CLI,,,,,"Yes (stdin, stdout, stdout+stderr)",Yes (via variables and options),"Yes (~/.cshrc, ~/.login, ~/.logout)",Yes (Unix feature),,
tcsh,POSIX,"tcsh, csh",1983[12],,"FreeBSD (default for root), formerly Mac OS X",,BSD,,Text-based CLI,,,,,"Yes (stdin, stdout, stdout+stderr)",Yes (via variables and options),"Yes (/etc/csh.cshrc, /etc/csh.login, ~/.tcshrc, ~/.cshrc, ~/.history, ~/.login, ~/.cshdirs)",Yes (Unix feature),,
Hamilton C shell,"Win32, OS/2",csh,1988[13],,,,,,Text-based CLI,,,Yes (-t timestamp operator),,"Yes (stdin, stdout, stdout+stderr)",Yes (via variables and options),"Yes (via login.csh, startup.csh and logout.csh)",Yes (command line option),,
Scsh,POSIX,scsh,1994,,,,BSD-style,,,,,,,,,,,,
ksh (ksh93t+),POSIX,ksh,1983[14][15],,"AIX, HP-UX",OpenSolaris,Common Public License,,Text-based CLI,,,Yes (printf builtin with %(%F)T[16]),,Yes (arbitrary fds),Yes (via variables and options),Yes (system and user's profile and kshrc),Yes (Unix feature),,
