Shell,String processing,Alternation (Brace expansion),Pattern matching (regular expressions built-in),Pattern matching (filename globbing),Globbing qualifiers (filename generation based on file attributes),Recursive globbing (generating files from any level of subdirectories)
Bourne shell 1977 version,?,,,"Yes (*, ?, [...])",,
Bourne shell recent version,,,,"Yes (*, ?, [...])",,
POSIX shell,,,,"Yes (*, ?, [...])",,
bash (v4.0),,,,"Yes (*, ?, [...], {...)",,**/...)
csh,Yes (:s and other editing operators),,,,,
tcsh,Yes (:s and other editing operators),,,,,
Hamilton C shell,"Yes (:s and other editing operators + substr, strlen, strindex, printf, reverse, upper, lower, concat and other builtin functions)",,,,,Yes (via indefinite directory "..." wildcard[64])
Scsh,?,?,,,,
ksh (ksh93t+),",,,"Yes (*, ?, [...])",,"set -G, no following of symlinks)"
pdksh,?,,,,,
zsh,",,,"Yes (*, ?, [...], extended globbing[66])",,**/... or ***/... to follow symlinks)
ash,?,?,,,,
CCP,,,,,,
COMMAND.COM,,,,"Yes (*, ?)",,
OS/2 CMD.EXE,,,,"Yes (*, ?)",DIR /A:... command),
Windows CMD.EXE,FOR /F and SET /A),,No[67],"Yes (*, ?)",DIR /A:... command),"FOR /R command, or, where available, indirectly via /S subdir option)"
4DOS,"%@...[], extended environment variable processing, various string commands and FOR /F and SET /A)",,,"Yes (*, ?, [...], extended wildcards, SELECT popup command)","/A:... attribute and /I"..." description options and /[S...] size, /[T...] time, /[D...] date, and /[!...] file exclusion ranges)","FOR /R command, or indirectly via GLOBAL command or, where available, /S subdir option)"
4OS2,?,,,?,?,?
TCC (formerly 4NT),"%@...[], extended environment variable processing, various string commands and FOR /F and SET /A)",,,"Yes (*, ?, [...], extended wildcards, SELECT popup command)","/A:... attribute and /I"..." description options and /[S...] size, /[T...] time, /[D...] date, /[O...] owner, and /[!...] file exclusion ranges)","FOR /R command, or indirectly via GLOBAL command or, where available, /S subdir option)"
PowerShell,"Yes (Concat/Substring/Insert/Remove/Replace, ToLower/ToUpper, Trim/TrimStart/TrimEnd, Compare, Contains/StartsWith/EndWith, Format, IndexOf/LastIndexOf, Pad/PadLeft/PadRight, Split/Join, regular expression functions and other .NET string functions)",,Yes (full regex support)[68],"Yes (*, ?, [...])",?,?
rc,?,?,,,,
BeanShell,?,?,,?,?,?
VMS DCL,,,,,,[SUBDIR...])
fish,Yes (builtin string function),Yes,yes (via builtin string match and string replace functions),"Yes (*, ?, {...)",,**/...)
