Format,Type,3GP,3G2,ASF<wbr/>[27],AVI<wbr/>name="Supported codecs in AVI",DMF,EVO,"FLV<wbr/>name="Audio formats in FLV"Adobe Flash Video File Format Specification,[31] p. 70, sec. E.4.3.2.",F4V,MKV,"PS, TS<wbr/>[33]",M2TS,MP4<wbr/>[34],MXF,Ogg<wbr/>name="Supported codecs in Ogg",QTFF<wbr/>[37],RMVB,VOB[59],WebM<wbr/>[24]
Speex,Speech,,,,,,,,,ACM<wbr/>name="Matroska VfW",,,,,,,,,
AMR,Speech,,"AMR-NB, AMR-WB",,,,,,,,,,,,,,,,
QCELP,Speech,,13K,,,,,,,,,,,,,,,,
G.728,Speech,,,,,,,,,,,,,,,,,,
MP1,Lossy,,,,,,,,,,,,,,,,,,
MP2,Lossy,,,,,,,,,,,,,,,,,,
MP3,Lossy,,,,name="VBR audio in AVI"Setting dwSampleSize to 0 in the stream headers triggers VBR stream seeking.[60][61],,,,,,,,,,Needs OGMtools<wbr/>[62],MPEG-1 Audio,,,
AAC,Lossy,,"Only AAC-LC, HE-AAC v1",,name="VBR audio in AVI"[61],,,,"Adobe Flash Video File Format Specification,[31] pp. 7-8, sec. 1.8.",,Private,,,,,,"Only AAC-LC, HE-AAC v1",,
AC-3,Lossy,,,,,,,,,,Private,,,,Needs OGMtools<wbr/>[62],,,Private,
E-AC-3,Lossy,,,,,,,,,QuickTime<wbr/>name="Matroska QuickTime"Matroska can support some codecs privately when wrapped in a QuickTime data structure.[6],,,,,,,,,
DTS,Lossy,,,,,,,,,,Private,,,,,,,Private,
WMA,Lossy,,,,,,,,,ACM<wbr/>name="Matroska VfW",,,,,,,,,
ATRAC3,Lossy,,,,,,,,,,,,,,,,,,
QDesign Music 1 and 2,Lossy,,,,,,,,,QuickTime<wbr/>name="Matroska QuickTime",,,,,,,,,
Vorbis,Lossy,,,,"Tricky<wbr/>name="Vorbis in AVI"Vorbis is not officially supported in AVI. While it can technically be muxed into AVI using FFmpeg, Nandub and AVI-Mux GUI[64] many sources report trouble playing back the resulting files,[65] which are incompatible with existing Vorbis decoders for DirectShow and ACM, occasionally causing desynchronization when seeking.",,,,,,,,Private,,,,,,
Opus,Lossy,,,,,,,,,,,,,,,,,,
FLAC,Lossless,,,,,,,,,,,,Not standard<wbr/>[66],,,,,,
ALAC,Lossless,,,,,,,,,,,,,,,,,,
MLP,Lossless,,,,,,,,,,Private,,,,,,,Private,
Dolby TrueHD,Lossless,,,,,,,,,,,,,,,,,,
DTS-HD,Lossless,,,,,,,,,,,,,,,,,,
WMA Lossless,Lossless,,,,,,,,,ACM<wbr/>name="Matroska VfW",,,,,,,,,
ALS,Lossless,,,,,,,,,,,,,,,,,,
SLS,Lossless,,,,,,,,,,,,,,,,,,
LPCM,Not compressed,,,,,,,,,,Private,,,,,,,Private,
?-law PCM,Not compressed,,,,,,,,,ACM<wbr/>name="Matroska VfW",,,,,,,,,
A-law PCM,Not compressed,,,,,,,,,ACM<wbr/>name="Matroska VfW",,,,,,,,,
Microsoft ADPCM,Not compressed,,,,,,,,,ACM<wbr/>name="Matroska VfW",,,,,,,,,
IEEE floating-point PCM,Not compressed,,,,,,,,,,,,,,,,,,
DV Audio,Not compressed,,,,,,,,,,,,,,,,,,
Other,Other,EVS,"EVRC, EVRC-B, EVRC-WB, SMV, VMR-WB",Microsoft GSM 6.10,"G.721, G.722, G.723, G.726, G.729a, CVSD, ATRAC1, Dolby AC-2",,,"Asao, SWF ADPCM[68]",,"Musepack, WavPack, TTA, any format supported by ACM",,,,,,"IMA 4:1, non-IEEE floating-point PCM","IS-54, Cook Codec, Sipro Lab ACELP-NET, RealAudio Lossless",,
Obsolete,Other,,,,"Truespeech, many others",,,,,,,,,,CELT,"MACE 3:1, MACE 6:1",,,
Format,Type,3GP,3G2,ASF<wbr/>[27],AVI<wbr/>name="Supported codecs in AVI",DMF,EVO,FLV<wbr/>name="Audio formats in FLV",F4V,MKV,"PS, TS<wbr/>[33]",M2TS,MP4<wbr/>[34],MXF,Ogg<wbr/>name="Supported codecs in Ogg",QTFF<wbr/>[37],RMVB,VOB[59],WebM<wbr/>[24]
