Function,Year,Designer,Derived from,Reference
BLAKE,2008,Jean-Philippe Aumasson Luca Henzen Willi Meier Raphael C.-W. Phan,ChaCha20,Website Specification
BLAKE2,2012,Jean-Philippe Aumasson Samuel Neves Zooko Wilcox-O'Hearn Christian Winnerlein,BLAKE,Website Specification 7693
BLAKE3,2020,Jack O'Connor Jean-Philippe Aumasson Samuel Neves Zooko Wilcox-O'Hearn,BLAKE2,Website Specification
GOST R 34.11-94,1994,FAPSI and VNIIstandart,GOST 28147-89,5831
HAVAL,1992,Yuliang Zheng Josef Pieprzyk Jennifer Seberry,,Website Specification
KangarooTwelve,2016,Guido Bertoni Joan Daemen Michaël Peeters Gilles Van Assche,Keccak,Website Specification
MD2,1989,Ronald Rivest,,1319
MD4,1990,,,1320
MD5,1992,,MD4,1321
MD6,2008,,,Website Specification
RIPEMD,1992,The RIPE Consortium[1],MD4,
RIPEMD-128 RIPEMD-256 RIPEMD-160 RIPEMD-320,1996,Hans Dobbertin Antoon Bosselaers Bart Preneel,RIPEMD,Website Specification
SHA-0,1993,NSA,,SHA-0
SHA-1,1995,,SHA-0,Specification
SHA-256 SHA-384 SHA-512,2002,,,
SHA-224,2004,,,
SHA-3 (Keccak),2008,Guido Bertoni Joan Daemen Michaël Peeters Gilles Van Assche,RadioGatún,Website Specification
Streebog,2012,"FSB, InfoTeCS JSC",,6986
Tiger,1995,Ross Anderson Eli Biham,,Website Specification
Whirlpool,2004,Vincent Rijmen Paulo Barreto,,Website
