|,| user manager,| Plugin,| Compare,| Import,| Export,| Debugger,| Source control,| Spatial Visualization
Adminer,,,,"SQL script, CSV, TSV or the above in zip (as a plugin); imports of server-site file in SQL or SQL in zip, gzip or bzip2","SQL script, CSV, TSV or the above in zip, gzip, bzip2; XML (as a plugin)",,Git,
Altova DatabaseSpy,,,,"CSV, XML","XML, XML Structure, CSV, HTML, MS Excel",,,
DaDaBIK,,,,,CSV,,,
Database Workbench,,,,,,,,
DataGrip,,,,,"TXT, CSV, HTML, XML, DBF, SQL script, RTF, MS Word, MS Excel, MS Access, MS Windows Clipboard, Paradox file, WK1, WQ1, SLK, DIF, LDIF",,,
DBeaver,,,,,,,With Eclipse plugins,
DBEdit,,,,,"MS Excel, PDF, Text, SQL script",,,
Epictetus,,,,,Excel,,,
ModelRight,,,,","SQL; XML; DTD; Diagram as BMP, JPEG",,,
Navicat,,,,",",,,
Navicat Data Modeler,,,,,,,,
MySQL Workbench,,,,",",,,
Oracle SQL Developer,,,,,,,,
Orbada,,,,SQL script,"SQL script, CSV, XML, HTML, PDF, Excel, DBF, DataText",,,
pgAdmin,,,,"CSV, Text, or binary","CSV, text, HTML, XML",,,
phpMyAdmin,,,,",",,Git,
SQL Database Studio,,,,"CSV, XML, MS Excel","CSV, HTML, MS Excel, SQL INSERTS, Tab-separated, XML",,,
SQLyog,,,,,,,,
SQL Server Management Studio,,,,,,,,
SQuirreL SQL,,,,,,,,
Toad,,,,,,,"SVN, CVS, TFS, VSS",
Toad Data Modeler,,,,"Toad for Oracle ERD, ERWin 7.1(XML) via plugin","SQL; meta data in XML; report in HTML/RTF/CSV; diagram as BMP, JPEG, PNG",,,
TOra,,,,,,,,
