Desktop publishing software,PDF,EPS,SVG,TeX/LaTeX,RTF,HTML,Word .doc,OOXML .docx,Other
CorelDRAW,,,,,,,,,"PSD, AI, SWF, WPD"
Fatpaint,,,,,,,,,"JPG, PNG"
Flare,,,,,,,,,"XLS, Adobe Framemaker, Adobe RoboHelp, Microsoft Compiled HTML Help, DITA"
FrameMaker,,,,,,,,,WPD
InDesign,,,,,,,,,"PSD, AI, SWF, WPD, XLS"
InPage,,,,,,,,,
iStudio Publisher,,,,,,,,,"PSD, AI"
LyX,,,,,,,,,
Microsoft Publisher,,,,,,,,,
OpenOffice.org,,,,,,,,,"PSD, WPD, XLS"
PageMaker*,,,,,,,,,
PagePlus,,,,,,,,,
Pages,,,,,,,,,
QuarkXPress,,,,,,,,,"PSD, AI, SWF, XLS, JPG, PNG PDF"
Scribus,,,,,,,,,List
The Print Shop,,,,,,,,,
Ventura*,,,,,,,,,"PSD, AI, WPD"
Desktop publishing software,PDF,EPS,SVG,TeX/LaTeX,RTF,HTML,Word .doc,OOXML .docx,Other
