Application,Red (CD-DA),Yellow (CD-ROM),Orange (CD-R/CD-RW),White (VCD/SVCD),Blue (E-CD),Beige (PCD),Green (CD-I),Purple (DDCD),Scarlet (SACD)
Alcohol 120%,,,,,,,,,
CDBurnerXP,,,,,,,,,
cdrtools,,,,,,,,,
DeepBurner,,,,,,,,,
ExpressBurn,,,,,,,,,
ImgBurn,,,,,,,,,
InfraRecorder,,,,,,,,,
K3b,,,,,,,,,
Libburnia,,,,,,,,,
Nero Burning ROM,,,,,,,,,
UltraISO,,,,,,,,,
X-CD-Roast,,,,,,,,,
Application,Red (CD-DA),Yellow (CD-ROM),Orange (CD-R/CD-RW),White (VCD/SVCD),Blue (E-CD),Beige (PCD),Green (CD-I),Purple (DDCD),Scarlet (SACD)
