Name,Creates?,Modifies?,Mounts?,Writes/<wbr/>Burns?,Extracts?,Input format,Output format,OS,License
7-Zip,,,,,,"CramFS, DMG, FAT, HFS, MBR, NTFS, ISO, SquashFS, UDF, VHD, WIM[1]",WIM,"Windows, Linux, Classic Mac OS",Free software (GPL)
AcetoneISO,,,,,,"CD, DVD, ISO, BIN, MDF+MDS, IMG, NRG, CUE, TOC, DMG","CD, DVD, ISO, BIN",Linux,Free software (GPL)
Acronis True Image,,,,,,"TIB, VHD","TIB, VHD",Windows,Shareware
Alcohol 120%,,,,,,"ISO, B5T, B6T, BWT, CCD, CDI, CUE, MDF+MDS, NRG, ISZ","MDF+MDS, ISO",Windows,Trialware
Alcohol 52% FE,,,,,,ISO,,Windows,Adware
AnyDVD HD,,,,,,,ISO,Windows,Shareware
Archive Manager,,,,,,ISO,,Unix-like,Free software (GPL)
Ashampoo Burning Studio,,,,,,"ISO, BIN+CUE","ISO, BIN+CUE",Windows,SharewarePast version are made available as freeware from time to time
BlindWrite,,,,,,"B5T, B6T, BWA, BWI, BWS, BWT, BIN+CUE, ISO, MDF+MDS","B5T, B6T, BWA, BWI, BWS, BWT, BIN+CUE, ISO, MDF+MDS",Windows,Shareware
Brasero,,,,,,"ISO, CUE","CD, DVD",Linux,Free software (GPL)
Burnatonce,,,,,,"ISO, CUE, TOC",,Windows,Freeware
CDBurnerXP,,,,,,"ISO, MDF+MDS, NRG, BIN+CUE","ISO, MDF+MDS",Windows,Freeware
CDemu,,,,,,"CSO, ECM, GBI, GZ, XZ, ISZ, DMG, ISO, UDF, NRG, CDI, CCD, SUB, IMG, BIN+CUE, TOC, B5T+B5I, B6T+B6I, MDF+MDS, MDX, CIF, C2D, DAA","ISO, TOC",Linux,Free software (GPL v2)
genisoimage,,,,,,,,"Linux, Unix",Free software (GPL)
isoinfo,,,,,,,,"Unix, Linux, Amiga Windows, macOS",Free software (GPL)
mkisofs,,,,,,,,"Unix, Linux, Amiga Windows, macOS",Free software (GPL)
CDRoller,,,,,,ISO,ISO,Windows,Shareware
CDRWIN,,,,,,"ISO, BIN+CUE, Audio File Types+CUE, ISO+CUE, Audio File Types+ISO+CUE, ISO+Audio File Types+CUE",BIN+CUE,Windows,Shareware
CloneCD,,,,,,,"ISO, UFD, IMG",Windows,Shareware
CloneDVD,,,,,,ISO,ISO,Windows,Shareware
CopyCatX,,,,,,DMG,DMG,macOS,Shareware
Daemon Tools,,All editions except Lite,,Lite editions requires Astroburn[2],All editions except Lite,"BIN+CUE, B5T, B6T, BWT, CCD, CDI, ISO, ISZ, MDF+MDS, MDX, NRG, VHD, VMDK and TrueCryptDaemon Tools supports the following non-image formats: ZIP, APE+CUE, FLAC+CUE, WAV+CUE","ISO, MDF+MDS, MDX – VHD and TrueCrypt in Ultra edition",Windows,"FreemiumAll editions are trialware, except Lite edition, which is only shareware in Korea but freeware elsewhere.[3][4][5][6]"
DeepBurner,,,,,,ISO,ISO,Windows,Freemium
Disco,,,,,,"CDR, ISO, DMG","CDR, ISO, DMG",macOS,Freeware
DiscJuggler,,,,,,"CDI, ISO",CDI,Windows,Shareware
Disk Utility,,,,,,"DMG, ISO","DMG, ISO",macOS,Part of macOS
DiskImageMounter,,,,,,"DMG, ISO","DMG, ISO",macOS,Part of macOS
DVD Shrink,,,,,Opens DVD images (File menu or Ctrl-I),"ISO, NRG, IMG, MDF+MDS",ISO,Windows,Freeware
Exact Audio Copy,Audio tracks only. Leaves an ISO placeholder for the data track in the CUE for mixed-mode discs.,,,,,Audio File Types+CUE,Audio File Types+CUE,Windows,Free software
Furius ISO Mount,,,,,,"ISO, IMG, BIN, MDF+MDS, NRG",,Linux,Free software (GPL)
Image for Windows,,,,,,"TBI, VHD, VMDK","TBI, VHD, VMDK",Windows,Shareware
ImgBurn,,,,,,"APE+CUE, BIN+CUE, CDI, CDR, DI, FLAC+CUE, GCM, GI, IBQ, IMG, ISO, LST, MDF+MDS, NRG, PDI, UDI, WV","ISO, IMG, BIN+CUE",Windows,Freeware
ImgDrive,,,,,,"CCD, ISO, ISZ, NRG",ISO,Windows,Freeware
InfraRecorder,,,,,,ISO,ISO,Windows,Free software (GPL)
ISO Master[7][8],,,,,,ISO,ISO,Linux,Free software (GPL)
ISO Recorder,,,,,,ISO,ISO,Windows,Free software (BSD license)
IsoBuster,,,,,,"DAO, TAO, ISO, BIN+CUE, IMG+CCD, CIF, FCD, NRG, GCD, P01, C2D, CDI, CD, GI, PXI, MDF+MDS, VC4/000, B5T+B5I, B6T+B6I, DMG, IBP+IBQ, NCD, FLP, E01/S01/Ex01, RMG, UDF, DSK, VMDK, IBADR+IBDAT, DD, XISO, XBX, IMAGE, VHD, VHDX, DC42, WBFS, ST, 128, 256, 512, 512E, 1KN, 2KN, 4KN, 8KN, 16KN, 32KN, 64KN[9][10][11]","ISO, TAO, BIN, CUE, IBADR+IBDAT, DSK, 1KN, 2KN, 4KN, 8KN, 16KN, 32KN, 64KN, IBR, IBP and IBQ[11]",Windows,Shareware
IsoCreator[12],,,,,,,ISO,Windows,Free software (AFL)
K3b,,,,,,ISO,,Unix-like,Free software (GPL)
libguestfs,,,,,,"raw, qcow2, VMDK, VHD","raw, qcow2, VMDK, VHD",Linux,Free software (LGPL)
Loop device[13],,,,,,Raw image,,"Linux, FreeBSD",Free software
MagicISO,,,With MagicDisc,,,"Both MagicISO and MagicDisc: ISO, BIN+CUE, IMA, IMG, CIF, NRG, IMG+CCD, MDF+MDS, VCD, VaporCD, P01, MD1, XA, VC4/000, VDI, C2D, BWI+BWT, CDI, TAO/DAO, PDI.[14][15] MagicISO only: DMG, FLP, DSK, BFI, BIF, WBT[14]","ISO, BIN+CUE, UIF, NRG, DMG[16]",Windows,SharewareMagicDisc is Freeware[17]
mount,,,,,,ISO,,Linux,Free software (GPL)
Nero Multimedia Suite,,,,,,"ISO, NRG","ISO, NRG",Windows,Shareware
Nero Burning ROM,,,,,,"ISO, NRG","ISO, NRG",Windows,Shareware
Nero Linux,,,,,,"ISO, NRG","ISO, NRG",Linux,Shareware (Discontinued)
Norton Ghost,,,,,,"GHO, GHS, VMDK, V2I, IV2I, PQI","GHO, GHS, VMDK",Windows,Shareware
OSFmount,,,,,,"IMG, DD, ISO, BIN+CUE, 00n, NRG, SDI, AFF(v3), AFM, AFD, VMDK, E01, S01, VHD",,Windows,Freeware
