Name,Windows NT,Windows Mobile (incl.Pocket PC),FreeBSD,Linux,Mac OS X,NetBSD,OpenBSD,DragonFly BSD,Android,iOS
Aloaha Crypt Disk,,,,,,,,,,
BestCrypt Volume Encryption,,,,,,,,,,
BitArmor DataControl,,,,,,,,,,
BitLocker,,,,,,,,,,
Bloombase Keyparc,,,,,,,,,,
Boxcryptor,,,,,,,,,,
CenterTools DriveLock,,,,,,,,,,
CGD,,,,,,,,,,
Check Point Full Disk Encryption,,,,,,,,,,
CipherShed,,,,,,,,,,
CrossCrypt,,,,,,,,,,
CryFS,,,,,,,,,,
Cryhod,,,,,,,,,,
Cryptainer,,,,,,,,,,
CryptArchiver,,,,,,,,,,
Cryptic Disk,,,,,,,,,,
Cryptoloop,,,,,,,,,,
Cryptomator,,,,,,,,,,
CryptoPro Secure Disk Enterprise,,,,,,,,,,
CryptoPro Secure Disk for BitLocker,,,,,,,,,,
Cryptsetup / Dmsetup,,,,,,,,,,
CryptSync,,,,,,,,,,
Discryptor,,,,,,,,,,
DiskCryptor,,,,,,,,,,
DISK Protect,,,,,,,,,,
Dm-crypt / LUKS,,,,,,,,,,
DriveCrypt,,,,,,,,,,
DriveSentry GoAnywhere 2,,,,,,,,,,
E4M,,,,,,,,,,
e-Capsule Private Safe,,,,,,,,,,
eCryptfs,,,,,,,,,,
EgoSecure HDD Encryption,,,,,,,,,,
EncFS,,,,,,,,,,
EncryptStick,,,,,,,,,,
EncryptUSB,,,,,,,,,,
FileVault,,,,,,,,,,
FileVault 2,,,,,,,,,,
FREE CompuSec,,,,,,,,,,
FreeOTFE,,,,,,,,,,
GBDE,,,,,,,,,,
GELI,,,,,,,,,,
Knox,,,,,,,,,,
LibreCrypt,,,,,,,,,,
Loop-AES,,,,,,,,,,
McAfee Drive Encryption (SafeBoot),,,,,,,,,,
n-Crypt Pro,,,,,,,,,,
NetLib Encryptionizer (directory encryption),,,,,,,,,,
PGPDisk,,,,,,,,,,
PGP Whole Disk Encryption,,,,,,,,,,
Private Disk,,,,,,,,,,
ProxyCrypt,,,,,,,,,,
R-Crypto,,,,,,,,,,
SafeGuard Easy,,,,,,,,,,
SafeGuard Enterprise,,,,,,,,,,
SafeGuard PrivateDisk,,,,,,,,,,
SafeHouse Professional,,,,,,,,,,
Scramdisk,,,,,,,,,,
Scramdisk 4 Linux,,,,,,,,,,
SecuBox,,,,,,,,,,
SecureDoc,,,,,,,,,,
Sentry 2020,,,,,,,,,,
Seqrite Volume Encryption,,,,,,,,,,
Softraid / RAID C,,,,,,,,,,
SpyProof!,,,,,,,,,,
Svnd / Vnconfig,,,,,,,,,,
Symantec Endpoint Encryption,,,,,,,,,,
Tcplay,,,,,,,,,,
Trend Micro Endpoint Encryption,,,,,,,,,,
TrueCrypt,,,,,,,,,,
USBCrypt,,,,,,,,,,
VeraCrypt,,,,,,,,,,
CyberSafe Top Secret,,,,,,,,,,
Name,Windows NT,Windows Mobile (incl. Pocket PC),FreeBSD,Linux,Mac OS X,NetBSD,OpenBSD,DragonFly BSD,Android,iOS
