Name,Whole disk,Partition,File,Swap space,Hibernation file,RAID
Aloaha Secure Stick,,,,,,
ArchiCrypt Live,,,,,,
BestCrypt,,,,,,
BitArmor DataControl,,,,,,
BitLocker,,,,,,
Bloombase Keyparc,,,,,,
CenterTools DriveLock,,,,,,
CGD,,,,,,
Check Point Full Disk Encryption,,,,,,
CipherShed,,,,,only on Windows,
CrossCrypt,,,,,,
CryFS,,,,,,
CryptArchiver,,,,,,
Cryptic Disk,,,,,,
Cryhod,,,,,,
Cryptoloop,,,,,,
Cryptomill,,,,,,
CryptoPro Secure Disk Enterprise,,,,,,
CryptoPro Secure Disk for BitLocker,,,,,,
DiskCryptor,,,,,,
Disk Protect,,,,,,
Dm-crypt / LUKS,,,,,,
DriveCrypt,,,,,,
DriveSentry GoAnywhere 2,,,,,,
E4M,,,,,,
e-Capsule Private Safe,,,,,,
eCryptfs,,,,,,
EgoSecure HDD Encryption,,,,,,
EncryptUSB,,,,,,
FileVault,,,,,,
FileVault 2,,,,,,
FREE CompuSec,,,,,,
FreeOTFE,,,,,,
GBDE,,,,,,
GELI,,,,,,
Loop-AES,,,,,,
McAfee Drive Encryption (SafeBoot),,,,,,
n-Crypt Pro,,,,,,
PGPDisk,,,,,only on Windows,
Private Disk,,,,,,
ProxyCrypt,,,,,,
R-Crypto,,,,,,
SafeGuard Easy,,,extra module,,Each sector on disk is encrypted,
SafeGuard Enterprise,,,,,Each sector on disk is encrypted,
SafeGuard PrivateDisk,,,,,,
SafeHouse Professional,,,,,,
Scramdisk,,,,,,
Scramdisk 4 Linux,,,,,,
SecuBox,,,,,,
SecureDoc,,,,,,
Sentry 2020,,,,,,
Seqrite Encryption Manager,,,,,, RAID-5
Softraid / RAID C,,,,,,
Svnd / Vnconfig,,,,,,
SpyProof!,,,,,,
Symantec Endpoint Encryption,,,,,,
Trend Micro Endpoint Encryption,,,,,,
TrueCrypt,,,,,only on Windows[109],
VeraCrypt,,,,,only on Windows[109],
CyberSafe Top Secret,,,,,,
Name,Whole disk,Partition,File,Swap space,Hibernation file,RAID
