Manager,Web browser integration,Resuming,Download acceleration,URLs per file,Mirror search,Auto dial/hangup,Categorized downloads,Cookies import,Speed limit,File browser,ZIP preview,Add-on support,Scheduler,Checksum verification,Remote Access/Control,Modified Time-stamp preserved
4K Video Downloader,,,,,,,,,,,,,,,,
BitComet,,,,,,,,,,,,,,,,
Download Accelerator Plus,,,,,,,,,,,,,,,,
DownloadStudio,,,,1,,,,,,,,,,,,
DownThemAll!,Requires Firefox,,,10,,,,,,,,,,,,
FlashGet,,,,unknown limit,,,,,All downloads,,,,,,,
Free Download Manager,,,,10,,,,,,,,,,,,
Free Studio,,,,unlimited,,,,,,,,,,,,
Freemake Video Downloader,,,,unlimited,,,,,,,,,,,,
GetRight,,,"10 streams, needs mirrors for >4 streams ",unlimited,,,,,,,,Scripting,,,,
Go!Zilla,,,,,,,,,,,,,,,,
Internet Download Accelerator,,,,,,,,,,,,,,,,
Internet Download Manager,,,,1 refreshable,,,,,,,,,,,,
JDownloader,,,,1,,,,,,,,,,,,
Jigdo,,,,unlimited,,,,,,,,,,,,
KGet,"Konqueror, Fx (via Flashgot plugin)",,,unlimited,,,,,BitTorrent Only[11],,,,,,,
Microsoft Download Manager,,,,,,,,,,,,,,,,
MiniDM,,,,unlimited,,,,,,,,,,,,
MLDonkey,,,,unlimited,,,,,,,,,,,,
Shareaza,IE; Fx and similar: ext. plugin[12],,,unlimited,,via Scheduler,,,,,,,,,,
Manager,Web browser integration,Resuming,Download acceleration,URLs per file,Mirror search,Auto dial/hangup,Categorized downloads,Cookies import,Speed limit,File browser,ZIP preview,Add-on support,Scheduler,Checksum verification,Remote Access/Control,Modified Time-stamp preserved
