Manager,HTTP,HTTPS,FTP,SFTP,MMS,RTSP,Metalink,Magnet link,Podcast,RTMP,BitTorrent,eDonkey
4K Video Downloader,,,,,,,,,,,,
BitComet,,,,,,,,,,,,
Download Accelerator Plus,,,,,,,,,,,,
DownloadStudio,,,,,,,,,,,,
DownThemAll!,,,,,,,,,,,,
FlashGet,,,,,,,,,,,,
Free Download Manager,,,,,,,,,,,,
Freemake Video Downloader,,,,,,,,,,,,
Free Studio,,,,,,,,,,,,
GetRight,,,,,,,,,,,,
Go!Zilla,,,,,,,,,,,,
Internet Download Accelerator,,,,,,,,,,,,
Internet Download Manager,,,,,,,,,,,,
JDownloader,,,,,,,,,,,,
Jigdo,,,,,,,,,,,,
KGet,,,,,,,,,,,,
Microsoft Download Manager,,,,,,,,,,,,
MiniDM,,,,,,,,,,,,
MLDonkey,,,,,,,,,,,,
Shareaza,,,,,,,,,,,,
Manager,HTTP,HTTPS,FTP,SFTP,MMS,RTSP,Metalink,Magnet link,Podcast,RTMP,BitTorrent,eDonkey
