Maker,Model,Number,E-Books,,,,,,,,,,,,,,,,,,,,Images,,,,,Audio/Video,,,,,,
,,,.azw,.cbr,.cbz,.chm,.djvu,.doc,.docx,.epub,.fb2,.html,.lit,.mobi,.opf,.pdb,.pdf,.pdg,.rtf,.tcr,.tr3,.txt,.bmp,.gif,.jpg,.png,.tiff,.avi,.flv,.m4v,.mov,.mp3,.mpeg1/2/4,.wmv
Aluratek,Liber Touch,09,,,,,,,,,Partial (non-DRM only),,,,,,,,Partial (non-DRM only),,,,,,,,,Partial (non-DRM only),Partial (non-DRM only),Partial (non-DRM only),Partial (non-DRM only),,Partial (non-DRM only),
Aluratek,Libre Air,11,,,,,,,,,Partial (non-DRM only),,,Partial (non-DRM only),,,,,Partial (non-DRM only),,,,,,,,,,,,,,,
Aluratek,Libre Color eBook Reader,10,,,,,,,,,Partial (non-DRM only),,,,,,,,Partial (non-DRM only),,,,,,,,,Partial (non-DRM only),Partial (non-DRM only),Partial (non-DRM only),Partial (non-DRM only),,Partial (non-DRM only),Partial (non-DRM only)
Aluratek,Libre Pro,08,,,,,,,,,Partial (non-DRM only),,,Partial (non-DRM only),,,,,,,,,,,,,,,,,,,,
Amazon.com,Kindle 3 Wi-Fi & 3G,12+,,,,,,,,,,,,Partial (no DRM),,,,,,,,,,,,,,,,,,,,
Amazon.com,Kindle DX,12,,,,,,,,,,,,Partial (no DRM),,,,,,,,,,,,,,,,,,,,
Amazon.com,Kindle 2,12,,,,,,,,,,,,Partial (no DRM),,,,,,,,,,,,,,,,,,,,
Amazon.com,Kindle,,,,,,,,,,,,,Partial (no DRM),,,,,,,,,,,,,,,,,,,,
Asus,Eee Reader DR900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnes & Noble,Barnes & Noble Nook Color,15+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnes & Noble,Nook,04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnes & Noble,Nook Simple Touch,08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bookeen,Cybook Orizon,08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bookeen,Cybook Opus,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bookeen,Cybook Gen3,07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bq,Movistar ebook bq,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condor Technology,eGriver IDEO,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condor Technology Associates,eGriver Touch,08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBS Technology,Agebook+6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ectaco,JetBook Color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elonex,Elonex ebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endless ideas,BeBook&One (Hanlin V3 clone),23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endless ideas,BeBook&Mini (Hanlin V5 clone),23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foxit&Corp.,eSlick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanvon,WISEreader N516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanvon,WISEreader N518 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanvon,WISEreader N520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanvon,WISEreader N526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interead,COOL-ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPapyrus Inc.,iPapyrus 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iRex Technologies,Digital Reader 800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iRex Technologies,Digital Reader 1000,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iRex Technologies,iLiad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iriver,Story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iriver,IRiver Story HD,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
italica GmbH,Paperback 1.0,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JinKe,Hanlin V2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JinKe,Hanlin V3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JinKe,Hanlin V5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JinKe,Hanlin V6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobo,eReader,03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobo,eReader WiFi,09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobo,eReader Touch,14,,,,,,,,,,,,Partial (raw markup),,,,,,,,,,,,,,,,,,,,
Kogan.com,Kogan eBook Reader,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kolporter,eClicto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
