Maker,Model,Intro year,End year,Screen size (inch),Self-lit,Screen type,Screen model,Weight,Screen pixels,Touch screen,Wireless network,Text-to-speech,Folders,Internal Storage,Micro SDHC,Web browser,Library DRM compatible,USB peripherals
Aluratek,Libre Ebook Reader Pro,2009,2014,5 in,,ePaper,,213 g (7.5 oz),600 × 800,,,,,90 MB,up to 32 GB,,,
Amazon.com,Kindle Paperwhite (2nd generation) Wi-Fi/3G,2013,2015,6 in,,eInk Carta,,215 g (7.6 oz),758 × 1024,2-Point,"Wi-Fi/CDMA, GSM",,,2 GB (1.25 GB),,,US only,
Amazon.com,Kindle Paperwhite 1st generation,2012,2013,6 in,,eInk Pearl,,221 g (7.8 oz),758 × 1024,2-Point,"Wi-Fi/ CDMA, GSM",,,2 GB (1.25 GB),,,US only,
Amazon.com,Kindle (5th generation),2012,2014,6 in,,eInk Pearl,,170 g (5.98 oz),600 × 800,,Wi-Fi,,,2 GB (1.25 GB),,,US only,
Amazon.com,Kindle (4th generation),2011,2012,6 in,,eInk Pearl,,170 g (6.0 oz),600 × 800,,Wi-Fi,,,2 GB (1.25 GB),,,US only,
Amazon.com,Kindle Touch 3G/Wi-Fi,2011,2012,6 in,,eInk Pearl,,220 g (7.8 oz),600 × 800,,"Wi-Fi/CDMA, GSM",,,4 GB (3 GB),,,US only,
Amazon.com,Kindle Keyboard Wi-Fi/3G,2010,2011,6 in,,eInk Pearl,ED060SC7(LF),247 g (8.7 oz),600 × 800,,"Wi-Fi/CDMA, GSM",,,4 GB (3 GB),,,US only,
Amazon.com,Kindle DX 1st gen white,2009,2011,9.7 in,,eInk,,540 g (19 oz),824 × 1200,,"CDMA (USA), GSM",,,4 GB (3.3 GB),,limited,US only,
Amazon.com,Kindle DX 2nd gen graphite,2010,2012,9.7 in,,eInk Pearl,,535 g (18.9 oz),824 × 1200,,HSDPA/GSM,,,4 GB (3.3 GB),,limited,US only,
Amazon.com,Kindle 2,2009,2010,6 in,,eInk,,289 g (10.2 oz),600 × 800,,"CDMA (USA), GSM (World)",,,2 GB (1.4 GB),,limited,US only,
Amazon.com,Kindle,2007,2009,6,,eInk,,289 g (10.2 oz),600 × 800,,CDMA,,,256 MB (180 MB),SD,limited,US only,
Asus,EEE Reader DR-900,2010,2010,9 in,,SiPix,,440 g (16 oz),768 × 1024,,Wi-Fi,,,2 GB,microSD,,,
Barnes & Noble,Nook Simple Touch,2011,2013,6 in,,eInk Pearl,,212 g (7.5 oz),600 × 800,,,Wi-Fi,,2 GB,,,,
Barnes & Noble,Nook,2009,2011,6 in,,eInk,,343 g (12.1 oz),600 × 800,Bottom,Wi-Fi UMTS?,,(FW v1.5),2 GB (1.3 GB),,,,
Bookeen,Cybook Gen3,2007,?,6 in,,eInk,,174 g (6.1 oz),600 × 800,,,,,"16 MB, 512 MB, 1 GB",SD,,,
Bookeen,Cybook Opus,2009,?,5 in,,eInk,,150 g (5.3 oz),600 × 800,,,,,1 GB,,,,
