Client,,IP to Country,Protocol Obfuscation[12],Handles files >4GB,Chat[13],Buddy list,Send FILERATING tags to servers,EndGame,AICH,L2HAC [14],Secure User ID,Global Searches,UPnP port mapping[15],Intelligent Chunk Selection,Lancast,HideOS / SotN
aMule,,,,,,,,,,,,,,,,
eMule,Official,,,,,,,zz's Version,,,,,,,,
,Osp,,,,,,,zz's Version,,,,,,,,
,AnalyZZUL,,,,,,,zz's Version,,,,,,,,
,beba,,,,,,,,,,,,,Version 1,,
,Magic Angel,,,,,,,DBR,,,,,,Version 1,,both
,Mephisto,,,,,,,DBR,,,,,,,,both
,MorphXT,,,,,,,DBR,,,,,,Version 1,,both
,NeoMule,,,,,,,own simplified implementation,,,,,,Version 2,Version 2,own implementation
,ScarAngel,,,,,,,DBR,,,,,,,,both
,SharkX,,,,,,,DBR,,,,,,Version 1,,
,Sivka,,,,,,,,,,,,,,Version 1,HideOS
,Spike2,,,,,,,DBR,,,,,,Version 1,,
,StulleMule,,,,,,,DBR,,,,,,Version 1,,both
,Xtreme,,,,,,,DBR,,,,,,,,own implementation
,X-Ray,,,,,,,DBR,,,,,,Version 1,,
,ZZUL,,,,,,,zz's Version,,,,,,,,
,ZZUL BastarD,,,,,,,zz's Version,,,,,,,,
eMule Plus,,,,up to 512GB,,,,,,,,,,,Version 1,manual hiding
Lphant,,,,,,,,,CCH (similar to ICH),,,,,,Version 1,
MLDonkey,,,,,,,,,,,,,,,,
Shareaza,,,,,,,,,,,,,,,,
xMule,,,,,,,,,,,,,,,,
Client,,IP to Country,Protocol Obfuscation[12],Handles files >4GB,Chat[13],Buddy list,Send FILERATING tags to servers,EndGame,AICH,L2HAC [14],Secure User ID,Global Searches,UPnP port mapping[15],Intelligent Chunk Selection,Lancast,HideOS / SotN
