Client,,Play While Downloading,PowerShare[6],Dynamic Upload,SUQWT[7],SubChunk Transfer,Drop Sources,Push small files,ZZ ratio[8],AntiLeech,IPFilter,Slot Control
aMule,,,,UBT,,,,,,,,
eMule,Official,,,USS,,,,,,,,
,Osp,,,USS,,,,,,,,
,AnalyZZUL,,,USS,,,,,fixed 1:3 Ratio,Client Analyzer,,ZZ Slot Focus
,beba,,Release Priority,USS,,,,,,Client Analyzer,,"Slot Focus, Upload Slot Control"
,Magic Angel,,,"SUC, USS",,,,,,ARGOS,,"SlotFocus, trickleSlots"
,Mephisto,,PS & PowerRelease,NAFC,,,,,optional: 1:3 ratio or source limits or enforced with chooseable ratio or dynamic by friendslot,DLP,, Slotfocus
,MorphXT,,PowerShare & Release Priority,"SUC, USS",,,,,optional: dynamic 1:3 Ratio,"Stringlist, Stricter protocol checks",,"SlotFocus, trickleSlots"
,NeoMule,,PowerShare & Release Priority,"USS, NAFC, NeoBC [11]",,,,custom,optional 1:4 Ratio,ARGOS (including DLP support),,"SlotFocus, trickleSlots, Badwolf, manuel"
,ScarAngel,,PS & PowerRelease,NAFC,,,,,optional: 1:3 ratio or source limits or enforced with chooseable ratio,DLP,,Xtreme Upload System
,SharkX,,Power Release,,,,,Only incomplete,taz dynamic ratio,Client Analyzer,,Slot Focus
,Sivka,,Release priority,USS,,,Yes (incl. List),,,,,
,Spike2,,,USS,,,Yes (incl. List),,,Stringlist + Client Analyzer,,"Slotfocus, Min/Max. Slots"
,StulleMule,,,"SUC, USS",,,Yes (incl. List),,dynamic 1:3 Ratio or enforced choosable ratio,DLP methods,,"USC, Slotfocus"
,Xtreme,,PowerRelease,NAFC,,,,,optional: 1:3 ratio or source limits,DLP,,Xtreme Upload System
,X-Ray,,,USS,,,List+Variable Blocktime,,,Argos (with own DLP),,Slotspeed
,ZZUL,,,USS,,,,,fixed 1:3 Ratio,,,SlotFocus
,ZZUL BastarD,,"PowerShare, SuperRelease",USS,,,,,fixed 1:3 Ratio,Stringlist + Client Analyzer for Armadillo,,SlotFocus
eMule Plus,,,"Release priority, JumpStart",,,,,,"1:3 < 4KB/s, 1:4 < 10KB/s",,,trickleSlots
Lphant,,,,,,Basic Support for Crumbs,,,,,,
MLDonkey,,,Folder reserved slot + release file slot,,,,Uses a very low priority list instead,Similar Feature,About 1:4 below 10KB/s,,,
Shareaza,,,,,,,,,,Reward uploaders,,
xMule,,,,,,,,,,,,
Client,,Play While Downloading,PowerShare (eMule),Dynamic Upload,SUQWT,SubChunk Transfer,Drop Sources,Push Small files,ZZ Ratio,AntiLeech,IPFilter,Slot Control
