Client,POP3 fetch all messages,POP3 selected by filter,POP3 selected by user,IMAP4,SMTP,NNTP,LDAP v2,LDAP v3,EWS,IPv6,MAPI
Alpine,,,,,,,,,,,
Apple Mail,,,,,,,,,,,
Becky! Internet Mail,,,,,,group=NoteBECKY_frnews,,,,,
Citadel,,,,,,,,,,,
Claws Mail,,,,,,,,,,,
Cone,,,group=NoteconePOP3,,,,,,,,
Courier,,,,,,,,,,,
Elm,,,,,,,,,,,
eM Client,,,,,,,,,,,
EmailTray,,,,,,,,,,,
Evolution,,,,,,,,,plug-in,,plug-in
Gnus,,,,,,,,,,,
GroupWise,,,,,,,,,,,
Hiri,,,,,,,,,,,
i.Scribe / InScribe,,,,,,,group=Noteplugin,group=Noteplugin,,,
HCL Notes,,,,,,,,,,,
KMail,,,,,,group=NoteKDENNTP,,,,,
Mailbird,,,,,,,,,,,
Mailpile,,,,,,,,,,,
Microsoft Entourage,,,,,,,,,,,
"Microsoft Entourage 2008, Web Services Edition",,,,,,,,,,,
Microsoft Office Outlook,,,,,,,,,,,
Mozilla Mail & Newsgroups,,,,,,,,,,,
Mozilla Thunderbird,,,,,,,,,extensible[15],,
Mulberry,,,,,,,,,,,
Mutt,,No (possible with POP3 browser),No (possible with POP3 browser),,,,,,,,
Netscape Messenger,,,,,,,,,,,
Netscape Messenger 9,,,,,,,,,,,
nmh / MH,,,,,,,,,,,
Opera Mail,,,,,,,,,,,
Outlook Express,,,,,,,,,,,
Pegasus Mail,,,,,,group=Notepegasusaddins,,,,,
Pine,,,,,,,,,,,
Pocomail,,,,,,,,,,,
RoundCube,,,,,,,,,,,
SeaMonkey Mail & Newsgroups,,,,,,,,,,,
Spicebird,,,,,,,,,,,
SquirrelMail,,,,,,,,,,,
Sylpheed,,,,,,,,,,,
The Bat!,,group=NoteSelectiveDownload,group=NoteMessageDispatcher,,,group=NoteBAT_mygate,,,,,
Trojitá,,,,,,,,,,,
Turnpike,,,,,,,,,,,
Windows Live Mail,,,,,,,,,,,
Windows Mail,,,,,,,,,,,
YAM,,,,,,,,,,,
Zimbra,,,,,,,,,,,
Client,POP3 fetch all messages,POP3 selected by filter,POP3 selected by user,IMAP4,SMTP,NNTP,LDAP v2,LDAP v3,EWS,IPv6,MAPI
