Client,Secure POP3,,Secure IMAP4,,Secure SMTP,,Secure NNTP,,Secure LDAP,,SNI,OCSP group=NoteOCSP,CRL group=NoteCRL
,SSL,TLS group=NoteIMAPPOP,SSL,TLS group=NoteIMAPPOP,SSL,TLS group=NoteSMTPTLS,SSL,TLS,SSL,TLS,,,
Alpine,,,,,,,,,,,,,
Apple Mail,,,,,,,,,,,,,
Becky! Internet Mail,,,,,,,,,,,,,
Citadel,,,,,,,,,,,,,
Claws Mail,,,,,,,,,,,,,
Cone,,,,,,,,,,,,,
Courier,,,,,,,,,,,,,
Elm,,,,,,,,,,,,,
eM Client,,,,,,,,,,,,,
EmailTray,,,,,,,,,,,,,
Eudora,,,,,,,,,,,,,
Evolution,,,,,,,,,,,,,
Gnus,,,,,,,,,,,,,
GroupWise,,,,,,,,,,,,,
Hiri,,,,,,,,,,,,,
i.Scribe / InScribe,,,,,,,,,,,,,
IBM Lotus Notes,,,,,,,,,,,,,
KMail,,,,,,,,,,,,,
Mailpile,,,,,,,,,,,,,
Microsoft Entourage,,,,,,,,,,,,,
Microsoft Office Outlook,,,,,,,,,,,,,
Mozilla Mail & Newsgroups,,,,,,,,,,,,,
Mozilla Thunderbird,,,,,,,,,,,,,
Mulberry,,,,,,,,,,,,,
Mutt,,,,,1.5.15,1.5.15,,,,,,,
Netscape Messenger,,,,,,,,,,,,,
Netscape Messenger 9,,,,,,,,,,,,,
nmh / MH,,,,,,,,,,,,,
Opera Mail,,group=NoteM2STLS,,group=NoteM2STLS,,group=NoteM2STLS,,,,,,,
Outlook Express,,,,,,,,,,,,,
Pegasus Mail,,,,,,,,,,,,,
Pine,,,,,,,,,,,,,
Pocomail,,,,,,,,,,,,,
RoundCube,,,,,,,,,,,,,
SeaMonkey Mail & Newsgroups,,,,,,,,,,,,,
Spicebird,,,,,,,,,,,,,
SquirrelMail,,,,,,,,,,,,,
Sylpheed,,,,,,,,,,,,,
The Bat!,,,,,,,,,,,,group=NoteTBCSP,group=NoteTBCSP
Trojitá,,,,,,,,,,,,,
Turnpike,,,,,,,,,,,,,
Windows Live Mail,,,,,,,,,,,,,
Windows Mail,,,,,,,,,,,,,
YAM,,,,,,,,,,,,,
Zimbra,,,,,,,,,,,,,
Client,Secure POP3,,Secure IMAP4,,Secure SMTP,,Secure NNTP,,Secure LDAP,,SNI,OCSP group=NoteOCSP,CRL group=NoteCRL
,SSL,TLS group=NoteIMAPPOP,SSL,TLS group=NoteIMAPPOP,SSL,TLS group=NoteSMTPTLS,SSL,TLS,SSL,TLS,,,
