Client,Regular,,MSN (NTLM) browser login,Compuserve (RPA),MD5 APOP group=NoteAPOP,CRAM-HMAC group=NoteHMAC,,,DIGEST-MD5,SCRAM,with hardware token PKCS#11,Biometric,SMTP Auth group=NoteSMTPAUTH,X.509 Client certificate,OAuth
,LOGIN,PLAIN,,,,MD5,SHA1,RIPEMD,,,,,,,
Alpine,,,,,,,,,,,,,,,
Apple Mail,,,,,,,,,,,,,,,group=NoteAppleMailOAuth
Becky! Internet Mail,,,,,,,,,,,,,,,
Citadel,,,,,,,,,,,,,,,
Claws Mail,,,,,,,,,,,,,,,
Cone,,,,,,,,,,,,,,,
Courier,,,,,,,,,,,,,,,
Elm,,,,,,,,,,,,,,,
eM Client,,,,,,,,,,,,,,,
EmailTray,,,,,,,,,,,,,,,
Eudora,,,,,,,,,,,,,,,
Evolution,,,,,,,,,,,,,,,
Gnus,,,,,,,,,,,,,,,
GroupWise,,,,,,,,,,,,,,,
Hiri,,,,,,,,,,,,,,,
i.Scribe / InScribe,,,,,,,,,,,,,,,
IBM Lotus Notes,,,,,,,,,,,,,,,
KMail,,,,,,,,,,,,,,,
Mailpile,,,,,,,,,,,,,,,
Microsoft Entourage,,,,,,,,,,,,,,,
Microsoft Office Outlook,,,,,,,,,,,,,,,
Mozilla Mail & Newsgroups,,,,,,,,,,,,,,,
Mozilla Thunderbird,,,,,,,,,,,,,,,
Mulberry,,,,,,,,,,,,,,,
Mutt,,,,,,,,,,,,,1.5.15,,1.10.1
Netscape Messenger,,,,,,,,,,,,,,,
Netscape Messenger 9,,,,,,,,,,,,,,,
nmh / MH,,,,,,,,,,,,,,,
Opera Mail,,,,,,,,,,,,,,,
Outlook Express,,,,,,,,,,,,,,,
Pegasus Mail,,,,,,,,,,,,,,,
Pine,,,,,,,,,,,,,,,
Pocomail,,,,,,,,,,,,,,,
RoundCube,,,,,,,,,,,,,,,
SeaMonkey Mail & Newsgroups,,,,,,,,,,,,,,,
SquirrelMail,,,,,,,,,,,,,,,
Sylpheed,,,,,,,,,,,,,,,
The Bat!,,,,,,,,,,,group=NoteTheBat,group=NoteTheBat,,,
Trojitá,,,,,,,,,,,,,,,
Turnpike,,,,,,,,,,,,,,,
Windows Live Mail,,,,,,,,,,,,,,,
Windows Mail,,,,,,,,,,,,,,,group=NoteWindowsMailOAuth
YAM,,,,,,,,,,,,,,AmiSSL,
Zimbra,,,,,,,,,,,,,group=NoteZimbra,,
Client,Regular,,MSN (NTLM) browser login,Compuserve (RPA),MD5 APOP group=NoteAPOP,CRAM-HMAC group=NoteHMAC,,,DIGEST-MD5,SCRAM,with hardware token PKCS#11,Biometric,SMTP Auth group=NoteSMTPAUTH,SSL/TLS Client Certificate,OAUTH
,LOGIN,PLAIN,,,,MD5,SHA1,RIPEMD,,,,,,,
