Client,Label messages,,,,Reformat received messages,,Bi-directional text support,Composing messages,,,Native images preview,,,,,Postpone / scheduled message sending,Native documents preview,,,,,,
,with colors,with flag,antidelete,add note,"edit headers (e.g., Subject)",forced recode group=Noterecode,,Spell checking,Signatures,Bottom-posts replies,jpeg,gif,bmp,png,others,,txt,pdf,doc,xls,odt,ods,others
Alpine,,,,,,,,,,,,,,,,,,,,,,,
Becky! Internet Mail,,,,,,,,,,,,,,,,,,,,,,,
Citadel,,,,,,,,,,,,,,,,,,,,,,,
Claws Mail,,,,,,,,,,,,,,,,,,with a plugin,,,,,
Cone,,,,,,,,,,,,,,,,,,,,,,,
Courier,,,,,,,,,,,,,,,,,,,,,,,
Elm,,,,,,,,,,,,,,,,,,,,,,,
eM Client,,,,,,,,,,,,,,,,,,,,,,,
EmailTray,,,,,,,,,,,,,,,,,,,,,,,
Eudora,,,,,,,,,,,,,,, QuickTime,,,,,,,,
Evolution,,,,,,,,,,,,,,,,,,,,,,,
Gnus,,,,,,,,,,,,,,,XPM,,,,,,,,
GroupWise,,,,,,,,,,,,,,,,,,,,,,,
Hiri,,,,,,,,,,,,,,,,,,,,,,,
i.Scribe / InScribe,,,,,,,,group=NoteSCRIBE_spell,,,group=NoteSCRIBE_jpeg,,,group=NoteSCRIBE_png,"ICO, TIFF",,,,,,,,
HCL Notes,,,,,,,,,,,,,,,"CGM, Lotus PIC, PCX, TIFF",,,,,,,,
KMail,,,,,,,,,,,,,,,,,,,,,,,
Mailbird,,,,,,,,,,,,,,,,,,,,,,,
Mailpile,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Entourage,,,,group=Noteeragenotes,,,,,,,,,,,,,,,,,,,
Microsoft Office Outlook,,,,,,,,,,,,,,,,,,with a plugin,,,2010,2010,PowerPoint
Mozilla Mail & Newsgroups,,,,,,,,,,,,,,,,,,,,,,,
Mozilla Thunderbird,,,,,with a plugin[66],,,,,group=NoteThunderbird_reply_format,,,,,ICO,group=NoteTbirdSl8Tr,,,,,,,
Mulberry,,,,,,,,,,,,,,,,,,,,,,,
Mutt,,,,,,,,,,,,,,,,postpone,,,,,,,
Netscape Messenger,,,,,,,,,,,,,,,,,,,,,,,
Netscape Messenger 9,,,,,,,,,,,,,,,,,,,,,,,
nmh / MH,,,,,,,,,,,,,,,,,,,,,,,
Opera Mail,,,,,,,,,,,,,,,"APNG, ICO, SVG, WBMP, XBM, WebP",,,,,,,,
Outlook Express,,,,,,,,,,,,,,,"ICO, art",,,,,,,,
Pegasus Mail,,,,,in index,,,,,group=NotePegasus_reply_format,,,,,TIFF,,,,,,,,"RTF, HTML"
Pine,,,,,,with a patch group=NotePINE_recode,,group=NotePINE_spell,,,,,,,,,,,,,,,
Pocomail,,,,,,,,,,,,,,,,,,,,,,,
RoundCube,,,,,,,,,,,,,,,,,,,,,,,
SeaMonkey Mail & Newsgroups,,,,,,,,,,,,,,,,,,,,,,,
SquirrelMail,,,,,,,,,,,,,,,,,,,,,,,
Sylpheed,,,,,,,,,,,,,,,,,,,,,,,
The Bat!,,,,,,,,,,,,,,,"ICO, emf",,,,,,,,
Trojitá,,,,,,,,,,,,,,,,,,,,,,,
Turnpike,,,,,,,,,,,,,,,,,,,,,,,
Windows Live Mail,,,,,,,,,,,,,,,,,,,,,,,
Windows Mail,,,,,,,,,,,,,,,,,,,,,,,
YAM,,,,,,,,,,,,,,,,,,,,,,,
Zimbra,,,,,,,,,,,,,,,,,,,,,,,
Client,Label messages,,,,Reformat received messages,,Bi-directional text support,Composing messages,,,Native images preview,,,,,Postpone/?scheduled message sending,Native documents preview,,,,,,
,with colors,with flag,antidelete,add note,"edit headers (e.g., Subject)",forced recode group=Noterecode,,Spell checking,Signatures,Bottom-posts replies,jpeg,gif,bmp,png,others,,txt,pdf,doc,xls,odt,ods,others
