Format name,Operating system,Filename extension,Explicit processor declarations,Arbitrary sections,Metadataname=metadata,Digital signature,String table,Symbol table,64-bit,Fat binaries,Can contain icon
OS/360,"OS/360 and successors, and VS/9, mainframe operating systems",none,,,,,,,,,
GOFF,IBM MVS and z/OS mainframe operating systems,none,,,,,,,,,
a.out,Unix-like,none,,,,,,,Extension,,
COFF,Unix-like,none,,,,,,,Extension,,
ECOFF,"Ultrix, Tru64 UNIX, IRIX",none,,,,,,,,,
XCOFF,"IBM AIX, BeOS, "classic" Mac OS",none,,,,,,,,,
ELF,"Unix-like, OpenVMS, BeOS from R4 onwards, Haiku",none,,,,,,,,Extension[5],Extension[6]
Mach-O[7],"NeXTSTEP, macOS, iOS, watchOS, tvOS",none,,,,,,,,,
SOM,"HP-UX, MPE/ix",,,,,,,,,,
Amiga Hunk,AmigaOS,none,,,,,,,,,
PEF[8],""classic" Mac OS, BeOS (PPC only)",none,,,,,,,,,
CMD,"CP/M-86, MP/M-86, Concurrent CP/M-86, Personal CP/M-86, S5-DOS, Concurrent DOS, Concurrent DOS 286, FlexOS, S5-DOS/ST, S5-DOS/MT, Concurrent DOS 386, Multiuser DOS, System Manager, REAL/32, DOS Plus",.CMD,,,,,Extension,Extension,,,
FlexOS 186,"FlexOS 186, FlexOS 286, S5-DOS/ST, S5-DOS/MT, 4680 OS, FlexOS 386, 4690 OS",.186,,,,,Extension,Extension,,,
FlexOS 286,"FlexOS 286, S5-DOS/ST, S5-DOS/MT, 4680 OS, FlexOS 386, 4690 OS",.286,,,,,Extension,Extension,,,
CP/M-68K,"CP/M-68K, Concurrent DOS 68K, FlexOS 68K",.68K,,,,,,,,,
COM (CP/M),"CP/M, MP/M, Concurrent CP/M, Personal CP/M",.COM,,Extension (BDOS 3 and higher only),,,,,,Extension,
COM (DOS),"DOS, OS/2, Windows (except for 64-bit editions), Concurrent CP/M-86 (BDOS 3.1 only), Concurrent DOS, Concurrent DOS 286, FlexOS, Concurrent DOS 386, Multiuser DOS, System Manager, REAL/32, DOS Plus",.COM,,,Extension (Novell/Caldera VERSION etc.),,,,Extension,Extension,
MZ (DOS),"DOS, OS/2, Windows (except for 64-bit editions), Concurrent DOS 286, FlexOS, Concurrent DOS 386, Multiuser DOS, System Manager, REAL/32, DOS Plus",.EXE,,,Extension(Novell/Caldera VERSION etc.),,Extension,Extension,Extension,,
MZ (GEM),"GEM, ViewMAX",.APP/.ACC,,,,,,,,,
NE,"MS-DOS 4.0 (multitasking), OS/2, Windows, HX DOS Extender",.EXE,,,,,,,,,
"LE, (W3, W4)","OS/2 (2.0 and higher only), some DOS extenders",.EXE,,,,,,,,,
LX,"OS/2 (2.0 and higher only), some 32-bit DOS extenders",.EXE,,,,,,,,,
PE,"Windows, ReactOS, HX DOS Extender, BeOS (R3 only)",.EXE,,,,,,,,,
PE32+,Windows (64-bit editions only),.EXE,,,,,,,,,
PIM/XIP,PalmDOS (MINIMAX applications only),.PIM/.XIP,,,,,,,,,
DL,MS-DOS System Manager applications (HP LX series only),.EXM,,,,,,,,,
MP,Phar Lap DOS extenders,.EXP,,,,,,,,,
P2,Phar Lap 16-bit DOS extenders,.EXP,,,,,,,,,
P3,Phar Lap 32-bit DOS extenders,.EXP,,,,,,,,,
GEOS,"PC/GEOS, Geoworks Ensemble, NewDeal Office, Breadbox Ensemble",.GEO,,,,,,,,,
