Client,License,First stable release,,Latest stable release
,,Date,Version,
Akregator,,,,"19.08.2 (October 10, 2019)"
Amarok,,,,
AOL Explorer,Proprietary,"June, 2005",1.0,"1.5 (May 10, 2006)"
Avant,Proprietary,"August, 2004",,
Awasu,,"February, 2003",1.0,"3.2 (April 26, 2018)"
BlogBridge,,,,6.7
Bloglines,,,,Merged with NetVibes
Canto,,"January 14, 2009",0.6.0,"0.9.7 (July 31, 2017)"
Claws Mail,,"January, 2005",1.0.0,
CommaFeed,Apache License,,,"2.4.0 (August 1, 2017)[1]"
Cooliris,,,,
CyberSEO,,"August, 2006",1.0,"8.014 (October 27, 2020)"
Digg Reader,,,,"Discontinued on March 26, 2018"
Feed Viewer,,"April, 2006",1.0,"31 (September 12, 2014)"
FeedDemon,,,,"4.5.0.0 (Final release on June 19, 2013)[2]"
Feedly,,2008,,"(web site, continuous updates)"
Feedreader,,,,"3.14 (April 20, 2009[3])"
Flipboard,,,,
Flock,Proprietary,"November 2, 2007",1.0,
Gnus,,"February 1, 1988[4]",,
Google Reader,,"September 17, 2007",2.0,"Discontinued on July 1, 2013[5]"
IBM Lotus Notes,,1989,1.0,
Inoreader,,,,"(web site, continuous updates)[6]"
iTunes,,,,
Juice,,,,2.2
K-Meleon,,"November 26, 2000",0.2,
Kazehakase,,"January 29, 2003",,
Liferea,,,,
Mail (OS X),,,,"5.2 (1257) (February 1, 2012)"
Maxthon,Proprietary,"September 8, 2005",1.0.0250,
MediaMonkey,Freemium,,,
Microsoft Office Outlook,,1997,97,"15.0.4517.1509 (January 29, 2013)"
Mozilla Firefox,MPL,"September 23, 2002",0.1,"Builtin RSS reader was removed in Version 64, Available as an add-on. [7][8][9] 
Mozilla Thunderbird,MPL,"December 7, 2004",1.0,
My Yahoo!,,,,
NetNewsWire,MIT license [10],"February 11, 2003",1.0,"5.1.1 (October 5, 2020)"
Netscape Browser,,"May 19, 2005",8.0,
Netscape Navigator 9,,"October 15, 2007",9.0,"9.0.0.6 (February 20, 2008)"
Netvibes,,,,
News360,,"November, 2010",,
NewsAccess,,,,
NewsBlur,MIT license [11],"October 26, 2010",1.0,4.0
NewsFire,,,,2.0
OmniWeb,,"March 17, 1995",1.0,
Opera Mail,Proprietary,"December, 1996",2.1,
Pegasus Mail,",1990,,
Protopage,,"May, 2005",1.0,11.43 (December 2015)
Pulse,,,,
QuiteRSS,GNU GPL v3,"Dec, 2014",0.14.0,0.19.3 (01.29.2020)
Rhythmbox,,,,
RSS Bandit,BSD license,"March, 2003",1.0,"1.9.0.1002 (July 4, 2010)"
RSS Guard,,"February 4, 2014",1.9.9.3,"3.8.0 (November 10, 2020)"
RSSOwl,EPL,"December 19, 2004",1.0,
Safari,,,,
Sage,MPL,,,"1.5.5 (June 16, 2017)"
Shiira,BSD license,,,
Sleipnir,,"October, 2005",2.00,
Songbird,,,,
The Bat!,Shareware,"March, 1998",1.00 Build 1310,
The Old Reader,,"June 12, 2012[12]",Beta,Beta[13]
Tiny Tiny RSS,,,,"rolling releases, most recent February 2019[14]"
Winamp,Freemium,,,
Windows Live Mail,Proprietary,,,
Zimbra,Zimbra licensing,"March, 2006",3.5,"7.1.3 (November, 2011)"
Zune,,,,
Client,License,Date,Version,Latest stable release
,,First stable release,,
