Client,Windows,macOS,Linux,BSD,Solaris,Android,iOS,Other
Akregator,,,,,,,,
Amarok,,,,,,,,
AOL Explorer,,,,,,,,
Avant,,,,,,,,
Awasu,,,,,,,,
BlogBridge,,,,,,,,
Canto,,,,,,,,
Claws Mail,,,,,,,,Maemo
CommaFeed,,,,,,,,Client side: every platform with a web browser Server side: every platform with Java
Cooliris,,,,,,,,
CyberSEO,,,,,,,,Client side: every platform with a web browser Server side: every platform with WordPress
Feed Viewer,,,,,,,,Windows Phone
FeedDemon,,,,,,,,
Feedreader,,,,,,,,
Flock,,,,,,,,
Gnus,,,,,,,,DOS
IBM Lotus Notes,,,,,,,,
Inoreader,,,,,,,,
Internet Explorer,,,,,,,,
iTunes,,as Podcasts app,,,,,,
Juice,,,,,,,,
K-Meleon,,,,,,,,
Kazehakase,,,,,,,,
Liferea,,,,,,,,
Apple Mail,,,,,,,,
Maxthon,,,,,,,,
MediaMonkey,,,,,,,,
Microsoft Office Outlook,,,,,,,,Windows Mobile
Mozilla Firefox,Add-on,Add-on,Add-on,Add-on,,,,
Mozilla Thunderbird,,,,,,,,
NetNewsWire,,,,,,,,
Netscape Browser,,,,,,,,
Netscape Navigator 9,,,,,,,,
NewsAccess,,,,,,,,
NewsBlur,Web based,Web based,Web based,Web based,Web based,,,every platform with a web browser
Newsbeuter,,,,,,,,Source code available
NewsFire,,,,,,,,
OmniWeb,,,,,,,,
Opera Mail,,,,,,,,"BeOS, QNX, OS/2"
Pegasus Mail,,,,,,,,
Protopage,Web based,Web based,Web based,Web based,Web based,Dedicated Web App,Dedicated Web App,every platform with a Web browser
Pulse,Web based,Web based,Web based,Web based,Web based,Dedicated App,Dedicated App,every platform with a Web browser
QuiteRSS,,,,,,,,Source code available
Rhythmbox,,,,,,,,
RSS Bandit,,,,,,,,
RSS Guard,,,,,,,,
RSSOwl,,,,,,,,every platform with Java and SWT
Safari,,,,,,,,
Sage,,,,,,,,
SeaMonkey Mail & Newsgroups,,,,,,,,
Shiira,,,,,,,,
Sleipnir,,,,,,,,
Songbird,,,,,,,,
The Bat!,,,,,,,,
The Old Reader,Web based,Web based,,Web based,Web based,Multiple apps,Multiple apps,"Windows Phone, Symbian, WebOS, Firefox OS"
Tiny Tiny RSS,,,,,,,,every platform with a web browser
Winamp,,,Obsolete,,,,,
Windows Live Mail,,,,,,,,
Zimbra,,,,,,,,
Zune,,,,,,,,Windows Mobile
Client,Windows,Mac OS X,Linux,BSD,Solaris,Android,iOS,Other
