File archivers,Data compression,Shell integration,Password protection,Multiple volumes,Self extraction,File repairing,Batch conversion,Unicode file / directory namesunicode-names5,Encryption,Filename Encryption
7-Zip,,,,,,,,,,
ALZip,,,,,,,features-ALZip8,,,
Archive Manager,,,,,,,,,,
Archive Utility,,,,,,,,,,
ARJ,,,,,,,,,,
Ark,,,,,,,,,,
B1 Free Archiver,,,,,,,,,,
BetterZip,,,,,,,,,,
bsdtar/libarchive,non-tar formatstar-compression2,,zip,,,,,,"7z, zip, rar","7z, zip, rar"
Commander One,,,,,,,,,,
CRAX Commander,,,,,,,,,,
Disk ARchiver,,,,,,,,,,
Filzip,,,,,,,,,,
FreeArc,,,,,,,,,,
GNU tar,tar-compression2,,,,,Separate,,,,
iArchiver,,,,,,,,,,
Info-ZIP,,infozip-shell11,,infozip-since12,,,,infozip-since12,ZipCrypto (weak) and AESinfozip-since12,
KGB Archiver,,Not enabled by default,,,,,,,,
PeaZip,,,,,,,,unicode-peazip9,encryption-peazip10,
PKZIP,,,,,Separate,Separate,,,,
PowerArchiver,,,,,,,powerarchiver7,,,
StuffIt,,,,,,,,,,
The Unarchiver,decompress-only1,some formats,,,,,,decompress-only1,,
TUGZip,,,,,,,,,,
WinAce,,,,,,,,,,
WinRAR and RAR,,,,,,features-WinRAR3,,winrar-7z6,,
WinZip,,,,,,,batch-winzip10,,,
XAD,decompress-only1,,,,,,,,,
Xarchiver,,,,,,,,,,
ZipGenius,,,,,,,,,,
ZPAQ,,,,,,,,,,
! Data compression,Shell integration,Password protection,Multiple volumes,Self extraction,File repairing,Batch conversion,Unicode file / directory namesunicode-names5,Encryption,Filename Encryption,
