File archivers,ZIP,TAR,GZ,BZ/BZ2,7z,xz,RAR,LHA/LZH,ACE,SIT,SITX,ARJ,KGB,DAR,ARC,CAB,ALZ,ISO/CD Image,ZPAQ
7-Zip,,,,,,,,,reading-7zip1,,,,,,,,,,
ALZip,,,,,,,,,,,,,,,,,,,
TAR,,,,,,,,,,,,,,,,,,,
Archive Utility,,,,,,,,,,,,,,,,,,ArchiveUtility-ISO7,
Ark,,,,,,,,,,,,,,,,,,,
B1 Free Archiver,,,,,,,,,,,,B1 Free Archiver-ARJ11,,,,,,,
BetterZip,,,,,,,,,,,,,,,,,,,
bsdtar/libarchive,,,stream-compression10,stream-compression10,,stream-compression10,,,,,,,,,,,,,
cpio,,,,,,,,,,,,,,,,,,,
Commander One,,,,,,,,,,,,,,,,,,,
CRAX Commander,,,,,,,,,,,,,,,,,,,
Disk ARchiver,,,,,,,,,,,,,,,,,,,
Filzip,,,,,,,,,,,,,,,,,,,
FreeArc,,,,,,,,,reading-7zip1,,,,,,reading-arc12,,,,
GNU tartar-compression2,tar-compression2,,tar-compression2,tar-compression2,reading-7zip3,,,,,,,,,,,,,,
iArchiver,,,,,,,,,,,,,,,,,,,
Info-ZIP,,,,,,,,,,,,,,,,,,,
KGB Archiver,,,,,,,,,,,,,,,,,,,
PeaZip,,,,,,,,,,,,,,,,,,,
PKZIP,,,,,,,,,,,,,,,,,,,
PowerArchiver,,,,,,,,,,,,,,,,,,,
Startar-compression2,tar-compression2,,tar-compression2,tar-compression2,tar-compression2,,,,,,,,,,,,,,
StuffIt,,,,,,,,,,,,,,,,,,,
The Unarchiver,,,,,,,,,,,Unarchiver-SITX11,,,,,,,,
TUGZip,,,,,,,,,,,,,,,,,,,
WinAce,,,,,,,,,,,,,,,,,,,
WinRAR,,,,,,,,,,,,,,,,,,,
WinZip,,,,,,,reading-winzip4,,,,,reading-winzip5,,,reading-winzip5,,,,
XAD,,,,,,,,,,,,,,,,,,,
Xarchiver,,,,,,,,,,,,,,,,,,,
ZipGenius,,,,,,,,ZipGenius-external10,,,,ZipGenius-external10,,,,,,,
! ZIP,TAR,GZ,BZ/BZ2,7z,xz,RAR,LHA/LZH,ACE,SIT,SITX,ARJ,KGB,DAR,ARC,CAB,ALZ,ISO/CD Image,ZPAQ,
