File archivers,ZIP,TAR,Gzip/Deflate ZIPx,Bzip2/BZ2 ZIPx,7z,XZ ZIPx,RAR,LHA/LZH,ACE,StuffIt,StuffIt X,ARJ,KGB,DAR,ARC,CAB,ALZ,ISO/CD Image,ZPAQ,Special
7-Zip,,,writing-7-Zip14,writing-7-Zip14,,writing-7-Zip14,,,,,,,,,,,,,,
ALZipALZip6,,,,,,,,,,,,,,,,,,,,
Archive Manager,,,,,,,writing-archivemanager12,,,,,,,,,,,,,
Archive Utility,,,,,,,,,,,,,,,,,,,,
Ark,,,,,,,writing-ark10,,,,,,,,,,,,,
B1 Free Archiver,,,,,,,,,,,,,,,,,,,,
BetterZip,,,,,,,,,,,,,,,,,,,,
bsdtar/libarchive,,,writing-bsdtar15,writing-bsdtar15,,writing-bsdtar15,,,,,,,,,,,,,,
Commander One,,,,,,,,,,,,,,,,,,,,
CRAX Commander,,,,,,,,,,,,,,,,,,,,
Disk ARchiver,,,,,,,,,,,,,,,,,,,,
Filzip,,,,,,,,,,,,,,,,,,,,
FreeArc,,,,,,,,,,,,,,,,,,,,
GNU tar,,,tar-compression-w1,tar-compression-w1,,,,,,,,,,,,,,,,
iArchiver,,,,,,,,,,,,,,,,,,,,
Info-ZIP,,,,,,,,,,,,,,,,,,,,
KGB Archiver,,,,,,,,,,,,,,,,,,,,
PeaZip,,,,,,,,,,,,,,,,,,,,
PKZIP,,,,,,,,,,,,,,,,,,,,
PowerArchiver 2018,,,,,,,writing_PowerArchiever_rar17,,,,,,,,,,,,,.bh (BlakHole) by ZipTV
Star,,,tar-compression-w1,tar-compression-w1,tar-compression-w1,tar-compression-w1,,,,,,,,,,,,,,
StuffItStuffIt-only4,,,,,,,StuffIt9,,,,,,,,,,,,,
TUGZip,,,,,,,writing-tugzip2,,writing-tugzipace4,,,,,,,,,,,
WinAce,,,,,,,,,,,,,,,,,,,,
WinRAR,,,,,,,,,,,,,,,,,,,,
WinZip,,,,,,,,,,,,writing-winzip3,,,,,,,,ZIPx
Xarchiver,,,,,,,writing-xarchiver11,,,,,,,,,,,,,
ZipGenius,,zipgenius-updating7,zipgenius-updating7,zipgenius-updating7,,,,zipgenius-external8,,,,,,,,zipgenius-updating7,,,,
! ZIP,TAR,Gzip/Deflate ZIPx,Bzip2/BZ2 ZIPx,7z,XZ ZIPx,RAR,LHA/LZH,ACE,SIT,SITX,ARJ,KGB,DAR,ARC,CAB,ALZ,ISO/CD Image,ZPAQ,Special,
