File archivers,Creator(s),First public release date,Latest stable version,Cost (USD),Software license
7-Zip,Igor Pavlov,19990102,19.00 20190221,,LGPL (RAR plugin is proprietary)
ALZip,ESTsoft,1999 (as a WinZip translation),,A free general serial number was published on developer's website altools.com in August 2012,
ALZip for Mac,ESTsoft,1999 (as a WinZip translation),,A free general serial number was published on developer's website altools.com in August 2012,
Archive Manager,Paolo Bacchilega,20010512,3.36.2 20200504[1],,GPL
Archive Utility,Apple Inc.,20031024,,Included with Mac OS X Core Services,
Ark,KDE team,1997,19.4.3 201979,,GPL
B1 Free Archiver,Adam Buyer,201108,1.5.86 20131125,,
BetterZip,MacItBetter,200605,,$29.95 USDcolor=,
Commander One,Eltima Software,20150804,1.1 20150929,Standard Free; $29.95 Pro Pack,
Compressed Folders,Microsoft Inc.,19980625,Windows 8.1 20130827,Included in Microsoft Windows Windows Explorer shell since Windows Me.align=style=color=,
CRAX Commander,Soft4U2,20130901,1.10.9 20160302,$19.99 USD,
Disk ARchiver,Denis Corbin,2002,2.5.14 20171220,,GPL
Expander,"Haiku, Inc.",2002,,,MIT
Filzip,Philipp Engel,,,,
FreeArc,Bulat Ziganshin,2007111 v0.36,0.666 (2010520),,GPL
iArchiver,Dare to be Creative Ltd.,20071021,1.4.1 20081030,$26,
Info-ZIP (Wzip),Samuel Smith,19893,6.0 2009429,,BSD-like
KGB Archiver,Tomasz Pawlak,20060401,1.2.1.24 2006111,,GPL
PeaZip,Giorgio Tani,2006916,7.5.0 20201113,,LGPL
PKZIP,Phil Katz,1989,12.4[2] (ca. 20099),$29.00,
PowerArchiver,ConexWare,19993,17.01.04 2017105,$22.95,
StuffIt,Smith Micro Software,1987,15.0.7 20111201[3],"Free expander; $49.99 Deluxe,[4] $79.99 French Deluxe;[5] Windows: $14.99 Standard,[6] $29.99 Deluxe,[7] $49.99 French (or German) Deluxe[8][9]",
TAR,AT&T,1979,GNU tar: ,,Various
The Unarchiver,Circlesoft,200671,3.11.3 2017916,,
Terse,IBM,198471,,,
TUGZip,Christian Kindahl,2002818,3.5.0.0 200842,,
WinAce,e-merge GmbH,,2.69 20071123,Free expander (GNU/Linux & Mac only); $29.00 Standard; $39.00 Plus,
WinRAR,Eugene Roshal / Alexander Roshal,1993,,Free expander; $29[10],
WinZip,"WinZip Computing, Inc",1991,,$29.95 Standard; $49.95 Pro,
XAD a.k.a. XADMaster.library,Dirk Stoecker,1998,13.1,"Shareware, Free for non commercial use",
Xarchiver,Giuseppe Torelli,,0.5.4 20140914,,GPL
ZipGenius,Matteo Riso of M.Dev Software,20035,6.3.2.3112 201488,,
ZPAQ,Matt Mahoney,20093,7.15 2016817,,Mixed public domain and MIT[11]
