Name,Show in-line changes,Directory comparison,Binary comparison,Moved lines,3-way comparison,Merge,Structured comparison[26],Manual compare alignment,Image compare
Beyond Compare,,,,,,,,,
Compare++,,,,,,,",,
diff,,,partly,,,,,,
diff3,,,,,,,,,
Eclipse (compare),,,,,,,,,
Ediff,,,,,,,,,
ExamDiff Pro,,,,,,,,manual synchronization,
Far Manager (compare),,,,,,,,,
fc,,,,,,,,,
FileMerge (aka opendiff),,,,,,,,,
Guiffy SureMerge,,,,,,,,,
IntelliJ IDEA (compare),,,,,,,,,
jEdit JDiff plugin,,,,,,,,,
Kompare,,,,,,,,,
Lazarus Diff,,,,,,,,,
Meld,,,,,,,," line alignment, unlink scroll",
Notepad++ (compare),,,,,,,,,
Perforce P4Merge,,,,,,,,,
Pretty Diff,,,,,,,,,
Tkdiff,,,,,,,,,
Total Commander (compare),,,,,,,, resync comparison,
vimdiff,,,,,,,,,
WinDiff,,,,,,,,,
WinMerge,,,,,,,,,
UCC,,,,,,,,,
Name,Show in-line changes,Directory comparison,Binary comparison,Moved lines,3-way comparison,Merge,Structured comparison[26],Manual compare alignment,Image compare
