File manager,Filesystem support,Attribute columns,File previews,Metadata indexing,Unicode support,Visual Themes
Altap Salamander,,,,,,
Commander One,,,,,,
CRAX Commander,,,,,,
Directory Opus,,,,,,
Dired,,,,,,
Documents by Readdle,,,,,,
Dolphin,,,,,,
Double Commander,,,,,,
emelFM2,,,,,,
Far Manager,,,,,,
Files (Apple),,,,,,
Files by Google,,,,,,
Finder,,,,,,
ForkLift,,,,,,
Konqueror,,,,,,
Krusader,,,,,,
Midnight Commander,,,,,,
GNOME Files (Nautilus),,,,,,
Nemo,?,?,?,?,?,?
Nomad.NET,,,,,,
Path Finder,,,,,,
PCManFM,,,,,,
ROX-Filer,,,,,,
Total Commander,,,,,,
Windows Explorer,,,,,,
Xandros File Manager,,,,,,
Xfe,,,,,,
Xfile,,,,,,
Xfm,,,,,,
xplorer²,,,,,,
XYplorer,,,,,,
ZTreeWin,,,,,,
File manager,Filesystem support,Attribute columns,File previews,Metadata indexing,Unicode support,Visual Themes
