File manager,File Name [88],File Contents [89],Basic metadata search [90],All metadata search [91],RegExp for Contents,Boolean (nesting levels),Fuzzy logic [92],Save searches [93],Refined searches [94]
Altap Salamander,,,,,,,,,
Commander One,,,,,,,,,
CRAX Commander,,,,,,,,,
Directory Opus,,,,,,,,,
Dired,,,,,,,,,
Documents by Readdle,,,,,,,,,
Dolphin,,,,,,,,,
Double Commander,,,,,,,,,
emelFM2,,,,,,,,,
FAR Manager,,,,,,,,,
File Commander,,,,,,,,,
Files (Apple),,,,,,,,,
Files by Google,,,,,,,,,
Finder,,,,,,,,,
ForkLift,,,,,,,,,
Konqueror,,,,,,,,,
Krusader,,,,,,,,,
GNOME Files (Nautilus),,,,,,,,,
Nemo,?,?,?,?,?,?,?,?,?
Nomad.NET,,,,,,,,,
Path Finder,,,,,,,,,
PCManFM,,,,,,,,,
ROX-Filer,,,,,,,,,
Total Commander,,,,,,,,,
Windows Explorer,,,,,,,,,
Xandros File Manager,,,,,,,,,
Xfe,,,,,,,,,
Xfile,,,,,,,,,
Xfm,,,,,,,,,
xplorer²,,,,,,,,,
XYplorer,,,,,,,,,
ZTreeWin,,,,,,,,,
File manager,File Name [88],File Contents [89],Basic metadata search [90],All metadata search [91],RegExp for Contents,Boolean (nesting levels),Fuzzy logic [92],Save searches [93],Refined searches [94]
