File system,DOS,Windows 9x,Windows NT,Linux,"classic" Mac OS,macOS,FreeBSD,OS/2,BeOS,Minix,Solaris,z/OS
APFS,,,,,,,,,,,,
BeeGFS,,,,,,,,,,,,
DECtape,,,,,,,,,,,,
Level-D,,,,,,,,,,,,
RT-11,,,,,,,,,,,,
Version 6 Unix file system (V6FS),,,,,,,,,,,,
Version 7 Unix file system (V7FS),,,,,,,,,,,,
exFAT,,,",,,,,,,,,
FAT12,,,,,,,,,,",,
FAT16 / FAT16B / FAT16X,",,,,,,,,,",,
FAT32 / FAT32X,,,,,,,,,,,,
GFS,,,,,,,,,,,,
HPFS,,,,,,,,,,,,
NTFS,,",,,,",,,,,,
Apple HFS,,,,,,,,,,,,
Apple HFS Plus,,,,,,,,,with addon,,,
FFS,,,,,,,,,,,,
UFS1,,,",,,,,,,,,
UFS2,,,",,,,,,,,,
LFS,,,,,,,,,,,,
ext,,,,,,,,,,,,
Xiafs,,,,,,,,,,,,
ext2,,,,,,,,,,,,
ext3,,,,,date=October 2016,,,,with addon,,,
ext4,,,,,,,,,with addon,,,
NOVA,,,,,,,,,,,,
Lustre,,,,,,,,,,,,
NILFS,,,,,,,,,,,,
F2FS,,,,,,,,,,,,
ReiserFS,,,,,,,,,with addon,,,
Reiser4,,,,,,,,,,,,
SpadFS,,,,,,,,,,,,
OCFS,,,,,,,,,,,,
OCFS2,,,,,,,,,,,,
XFS,,,,,,,,,with addon (read only),,,
JFS,,,,,,,,,,,,
QFS,,,,,,,,,,,,
Be File System,,,,,,,,,,,,
NSS,,,,name=EVMS Supported using only EVMS; not currently supported using LVM,,,,,,,,
NWFS,,,,,,,,,,,,
ODS-2,,,,,,,,,,,,
ODS-5,,,,,,,,,,,,
UDF,,,,,,,,,,,,
VxFS,,,,,,,,,,,,
Fossil,,,,name=fossil-p9p Provided in Plan 9 from User Space,,name=fossil-p9p,name=fossil-p9p,,,,name=fossil-p9p,
ZFS,,,,,,,,,,,,
Btrfs,,,,,,,,,,,,
VMFS2,,,,,,,,,,,,
VMFS3,,,,,,,,,,,,
IBM HFS,,,,,,,,,,,,
IBM zFS,,,,,,,,,,,,
ReFS,,,,,,,,,,,,
ISO 9660,,,,,,,,,,,,
Rock Ridge,,,,,,,,,,,,
Joliet ("CDFS"),,,,,,,,,,,,
SquashFS,,,,,,,,,,,,
File system,DOS,Windows 9x,Windows NT,Linux,"classic" Mac OS,macOS,FreeBSD,OS/2,BeOS,Minix,Solaris,z/OS
