File system,Host OS,Offline grow,Online grow,Offline shrink,Online shrink,add and remove physical volumes
FAT16 / FAT16B / FAT16X,misc.,,,,,
FAT32 / FAT32X,misc.,,,,,
exFAT,misc.,,,,,
NTFS,Windows,,,,,
ReFS,Windows,,,,,
HFS+,macOS,,,,,
APFS,macOS,,,,,
HFS+,Linux,,,,,
SquashFS,Linux,,,,,
NOVA,Linux,,,,,
JFS[57],Linux,,,,,
XFS[58],Linux,,,,,
Lustre[59],Linux,,,,,
F2FS[60],Linux,,,,,
NTFS[61],Linux,,,,,
ext2[62],Linux,,,,,
ext3[62],Linux,,,,,
ReiserFS[63],Linux,,,,,
Reiser4[64],Linux,,,,,
ext4[62],Linux,,,,,
Btrfs[65],Linux,,,,,
NILFS[66],Linux,,,,,
ZFS,misc.,,,,,
JFS2,AIX,,,,,
UFS2[68],FreeBSD,,,,,
HAMMER,DragonflyBSD,,,,,
