File system,Internal snapshotting / branching,encryption,deduplication,Checksum,Persistent Cache,Multiple Devices,compression
DECtape,,,,,,,
BeeGFS,,,,,,,
Level-D,,,,,,,
RT-11,,,,,,,
APFS,,,,,,,
Version 6 Unix file system (V6FS),,,,,,,
Version 7 Unix file system (V7FS),,,,,,,
exFAT,,,,,,,
FAT12,,,,,,,
FAT16 / FAT16B / FAT16X,,,,,,,
FAT32 / FAT32X,,,,,,,
GFS,,,,,,,
HPFS,,,,,,,
NTFS,,,"name=note-NTFS-Dedup Supported only on Windows Server SKUs. However, partitions deduplicated on Server can be used on Client.[48]",,,,
HFS Plus,,"name=note-77 HFS+ does not actually encrypt files: to implement FileVault, OS X creates an HFS+ filesystem in a sparse, encrypted disk image that is automatically mounted over the home directory when the user logs in.",,,,,
FFS,,,,,,,
UFS1,,,,,,,
UFS2,,,,,,,
HAMMER,,,,,,,
LFS,,,,,,,
ext,,,,,,,
Xiafs,,,,,,,
ext2,,,,,,,
ext3,,,,,,,
ext4,,",,,,,
NOVA,,,,,,,
F2FS,,",,,,,
Lustre,,,,,,,
NILFS,"name=note-38",,,,,,
ReiserFS,,,,,,,
Reiser4,,name=note-50 Reiser4 supports transparent compression and encryption with the cryptcompress plugin which is the default file handler in version 4.1.,,,,,
OCFS,,,,,,,
OCFS2,,,,,,,
XFS,,,",,,,
JFS,,,,,,,
QFS,,,,,,,
BFS,,,,,,,
NSS,,,,,,,
NWFS,,,,,,,
ODS-2,,,,,,,
ODS-5,,,,,,,
UDF,,,,,,,
VxFS,name=note-70 VxFS provides an optional feature called "Storage Checkpoints" which allows for advanced file system snapshots.,,,,,,
Fossil,,,,,,,
ZFS,,name=zfscrypt Applies to proprietary ZFS release 30 and ZFS On Linux. Encryption support is not yet available in all OpenZFS ports.[53][54][55],,,,,
Btrfs,,,,,,,
Minix V1,,,,,,,
Minix V2,,,,,,,
Minix V3,,,,,,,
VMFS2,,,,,,,
VMFS3,,,,,,,
ReFS,,,,,,,
ISO 9660,,,"name=note-79Some file system creation implementations reuse block references and support deduplication this way. This is not supported by the standard, but usually works well due to the file system's read-only nature.",,,,
Rock Ridge,,,name=note-79,,,,
Joliet ("CDFS"),,,name=note-79,,,,
SquashFS,,,,,,,
File system,Internal snapshotting / branching,Filesystem-level encryption,Data deduplication,Data checksums,Persistent Cache,Multiple Devices,compression
