Firewall,License,Cost,OS
Clavister,,Included on all Clavister NGFWs,Proprietary operating system cOS Core
Check Point,,Included on Check Point security gateways,Proprietary operating system Check Point IPSO and Gaia (Linux-based)
FortiGate,,Included on all Fortigate devices,"Proprietary, FortiOS, Based on the Linux kernel"
Palo Alto Networks,,Included on Palo Alto Networks firewalls,"Proprietary, PAN-OS, Based on the Linux kernel"
Rohde & Schwarz,,Included on LANCOM R&S Unified Firewalls,"Proprietary, LCOSFX, Based on the Linux kernel"
Sophos,,Included on Sophos UTM,Linux-based appliance
Cisco ASA Firepower,,Included on all CISCO ASA devices,Proprietary operating system
Cisco PIX,,Included on all CISCO PIX devices,Proprietary operating system
Juniper SSG,,Included on Netscreen security gateways,Proprietary operating system ScreenOS
Juniper SRX,,Included on SRX security gateways,Proprietary operating system Junos
Sonicwall,,Included on Dell appliance,Proprietary operating system SonicOS Based on the Linux kernel
Barracuda Firewall,,Included Firewall Next Generation appliance,Windows-based appliance embedded firewall distribution
Cyberoam,,Included Firewall Sophos appliance,Windows-based appliance embedded firewall distribution
D-Link,,Included Firewall DFL,Windows-based appliance embedded firewall distribution
Endian Firewall,,Free / Paid,Linux-based appliance
Forcepoint NGFW,,Included on all Forcepoint NGFW devices,Proprietary operating system
OPNsense,Simplified BSD / FreeBSD License,Free / Paid,FreeBSD-based appliance firewall distribution
pfSense,ESF/Apache 2.0,Free / Paid,FreeBSD-based appliance firewall distribution
Zeroshell,GPL,Free / Paid,Linux/NanoBSD-based appliance firewall distribution
SmoothWall,GPL,Free / Paid,Linux-based appliance embedded firewall distribution
IPFire,GPL,Free (Donations welcomed),Linux-based appliance embedded firewall distribution
WatchGuard,,Included on all Firebox devices,"Proprietary, Fireware OS, Based on the Linux kernel"
WinGate,,Free / Paid,Windows-based appliance embedded firewall distribution
