Licence and version,FSF approval [35],GPL (v3) compatibility [36][37][38][39][40],OSI approval [41],Debian approval [42][43],Fedora approval [44]
Academic Free License,,,,,
Affero General Public License 3.0,,,,,
Apache License 1.x,,,,,
Apache License 2.0,,GPLv3 only[45],,,
Apple Public Source License 1.x,,,,,
Apple Public Source License 2.0,,,,,
Artistic License 1.0,,,,,
Artistic License 2.0,,,,,
Beerware License,see "informal licence" section[48],see "informal license" section[48],,,
Original BSD license,,,,,
Modified BSD license,,,,,
Zero-Clause BSD License,,,,,
Boost Software License,,,,,
CeCILL,,,,,
Common Development and Distribution License,,GPLv3 (GPLv2 disputed)[52][53][54][55][56][57],,,
Common Public License,,,,,
Creative Commons Zero,,,,,
Creative Commons BY-SA 4.0,,GPLv3[63],,,
Cryptix General License,,,,,
Eclipse Public License,,,,,
Educational Community License,,,,,
Eiffel Forum License 2,,,,,
European Union Public Licence,,,,,
GNU Affero General Public License,,,,,
GNU General Public License v2,,,,,
GNU General Public License v3,,,,,
GNU Lesser General Public License,,,,,
GNU Free Documentation License,,,,,
IBM Public License,,,,,
Intel Open Source License,,,,,
ISC license,,,,,
LaTeX Project Public License,,,,,
Microsoft Public License,,,,,
Microsoft Reciprocal License,,,,,
MIT license / X11 license,,,,,
Mozilla Public License 1.1,,,,,
Mozilla Public License 2.0,,,,,
NASA Open Source Agreement,,,,,
Netscape Public License,,,,,
Open Software License,,,,,
OpenSSL license,,,,,
PHP License,,,,,
Python Software Foundation License 2.0.1; 2.1.1 and newer,,,,,
Q Public License,,,,,
Reciprocal Public License 1.5,,,,,
Sleepycat License,,,,,
Sun Industry Standards Source License,,,,,
Sun Public License,,,,,
Sybase Open Watcom Public License,,,,,
Unlicense,,,,,
W3C Software Notice and License,,,,,
Do What The Fuck You Want To Public License (WTFPL),,,,,
XFree86 1.1 License,,,,,
zlib/libpng license,,,,,
Zope Public License 1.0,,,,,
Zope Public License 2.0,,,,,
