Name,Unicode Support,Single parent family,Same sex marriage,Witness to events,Name variants,Conflicting evidence,Source surety,Adoption & foster parent,non-standard calendar in date fields
Agelong Tree,,,,,,,,,
Ahnenblatt,,,,,,,,,
Ancestral Quest,,,,,,,,,
Ancestris,,,,,,,,,aaa
Brother's Keeper,,,,,,,,,
Family Historian,,,,,,,,,
Family Tree Builder,,,,,,,,,
Family Tree Maker,,,,,,,,,
GEDitCOM II,,,,,,,,,
Genbox Family History,,,,,,,,,
GenealogyJ,,,,,,,,,
GenoPro,,,,,,,,,
Gramps,,,,,,,,,
Heredis,,,,,,,,,
Legacy Family Treebbb,,,,,,,,,
LifeLines,,,,,,,,,
MacFamilyTree,,,,,,,,,
Personal Ancestral File,,,,,,,,,
Reunion,,,,,,,,,
RootsMagic,,,,,,,,,
The Master Genealogist,,,,,,,,,
webtrees,,,,,,,,,
