Software,Latest version,Latest release,Free to use,Free software,Software license,Windows,macOS,Linux,Android,iOS
Agelong Tree,5.5,2020-04-08,,,,,,Using Wine,,
Ahnenblatt,3.10,2020-05-22,",,,,,Using Wine,,
Ancestral Quest,16.0.6,2020-08-10,,,,,,Using Wine,,
Ancestris,10,2020-02-08,,,,,,,,
Brother's Keeper,7.5.4,2020-10-15,,,Shareware,,,Using Wine,,
Family Historian,6.2.7,2018-05-01,,,,,,Using Wine,,
Family Tree Builder,8.0,2016-08-12,,,,,,Using Wine,,
Family Tree Maker,2019 (24.0.1),2019-11,,,,,,,,
Family Tree,1.2.1,2013-10-05,,,,,,,,
GEDitCOM II,2.3,2016-11-17,",,,,,,,
Genbox Family History,3.7.1,2007-11-17,,,,,,Using Wine,,
GenealogyJ,3.0,2020-02-15,,,,Javagroup=generalname=javaUsing Java Virtual Machine ,Javaname=java ,Javaname=java ,,
GenoPro,"2016, 3.0.0.7",2016-01-27,,,,,,Using Wine,,
Gramps,5.1.3,2020-08-22,,,,,,,,
Heredis,2020,2019-01-12,,,,,,,,
Kith and Kin Pro,3.2.5,2016-08-01,,,Shareware,,,,,
Legacy Family Tree,9.0.0.368,2020-09-29,,,,,,Using Wine,,
LifeLines,3.1.1,2016-03-17,,,MIT License,,,,,
MacFamilyTree,8.3.5,2018-04-24,",,,,,,,
Personal Ancestral File,5.2.18.0,2002-07-23 (discontinued 2014),,,,,,Using Wine,,
Reunion,12.0 (build 200127),2020-01-27,",,,,,,,
RootsMagic,7.6.4.0,2020-08-28,,,,,,Using Wine,,
The Master Genealogist,9.05.0000,2014-12-03 (discontinued:2015),,,,,,Using Wine,,
webtrees,2.0.4,,,,,,,,,
