Name,English,Afrikaans,Danish,Dutch,French,German,Italian,Norwegian,Polish,Portuguese,Russian,Spanish,Swedish
Agelong Treea3aa,,b3bb,b3bb,,,,,b3bb,,,,,b3bb
Ahnenblattc2cc,,b3bb,,,,,,,,,,,
Ancestral Questddd,,b3bb,,b3bb,,,b3bb,,,,,,
Ancestriseee,,b3bb,,,,,,,,,b3bb,,
Brother's Keeper,,,,,,,b3bb,,,,,b3bb,
Family Historian,,,,,,,,,,,,,
Family Tree Builder,,,,,,,,,,,,,
Family Tree Maker (Windows),,,,,,,,,,,,,
Family Tree Maker for Mac,,,,,,,,,,,,,
GEDitCOM II,,,,,,,,,,,,,
Genbox Family Historyfff,,,,,,,,,,,,,
GenealogyJ,,,,,,,,,,,,,
GenoProggghhh,,,,,,,,,,,,,
Grampsiii,,,,,,,,,,,,,
Heredis,,,,,,,,,,,,,
Legacy Family Tree,jjj,,,,,,,kkk,,,,public test,
LifeLines,,,,,,,,,,,,,
MacFamilyTree,,,,,,,,,,,,,
Personal Ancestral File,(v4.x/5.x),,,,(v4.x),(v4.x/5.x),,,,,,(v4.x),(v5.x)
Reunionlll,,,,lll,lll,lll,,lll,,,,,
RootsMagic,,,,,,,,,,,,,
The Master Genealogist,nnn,,,,,,,,ggg,,,ggg,
webtrees,,,,,,,,,,,,,
