,Maximum file size,Partial file loading,Disk sector editing,Process memory editing,Data inspector,Bit editing,Insert/delete bytes,Character encodings(ao),Search Unicode,File structure view,Disassembler,File compare,Find in files,Bookmarks,Macro,Text editor
HxD,8 EiB[2],,Windows 9x/NT and up,,,,,"ANSI, ASCII, OEM, EBCDIC, Macintosh",,,,,,,,
010 Editor,8 EiB,,,WinNT only,,,,"ANSI, OEM, Unicode, UTF-8, EBCDIC, Custom",,,,,,,,
beye,8 PiB,,,,,,,"ANSI, EBCDIC, ASCII, Macintosh",,,"data-sort-value="Yes" AVR, Java, x86, i386, x86-64, ARM/XScale, PowerPC, PPC64",,,,,
bvi,Unlimiteddate=October 2019,,,,,,,"ANSI, ASCII",,,,,,,,
Emacs,Limited by RAM,,,,,,,,,,,,,,,
FlexHex,Unlimiteddate=October 2019,,,,,,,"ANSI, OEM, UTF-16",,,,,,,,
Frhed,Limited by RAM,,,,,,,"ANSI, OEM",,,,,,,,
Hiew,Unlimiteddate=October 2019,,WinNT only,,,,,"ASCII,OEM, Unicode,Custom",,,"data-sort-value="Yes" x86, x86-64, MMX, SSE 4.2, 3DNow! - all assembler, ARM",,,,,
VEDIT,"Standard, 2 GiB, Pro 64, unlimiteddate=October 2019",,data-sort-value="Partial" DOS version only,,,,,"ANSI, OEM, EBCDIC, ASCII, custom",,,,,,,,
UltraEdit,>4 GiB,,,,,,,"ANSI, OEM, EBCDIC, ASCII, Mac, Unix, UTF-8",,,,,,,,
WinHex,Unlimiteddate=October 2019,,,,,,,",,,Only x86 Intel opcodes,,data-sort-value="Yes" ,,,
vim,Limited by RAM,,,,,,,"ASCII, ISO-8859, DOS (OEM), UTF-8, UTF-16, partial EBCDIC (compilation required), unicode",,,,,,Plug-in[6],,
! Maximum file size,Partial file loading,Disk sector editing,Process memory editing,Data inspector,Bit editing,Insert/delete bytes,Character encodings(ao),Search Unicode,File structure view,Disassembler,File compare,Find in files,Bookmarks,Macro,Text editor,
