Product,Multi-column mode,Styles (bold/italic/etc.),Page Turn Effects,Themes,Day/Night mode,Enable/Disable sleep mode,Brightness Control,Indent paragraph,Enable/Disable CSS,Enable/Disable hyphenation,Customize margins,Customize text alignment,Customize font,Customize spacing: line/paragraph
Apabi Reader,,,Configurable,,,,Vertical swipe,,,,,,,
Blio,,,,,,,,,,,,Justification only,,
Bluefire Reader,,,,,,,Vertical swipe,,,,Pre-set choices only,Justification only,,Line only
DL Reader,,,,,,,,,,,Pre-set choices only,Justification only,,
eBookMobi,,,,,,,,,,,,,,
Ebook Reader,,,,,,(Disabled by default),,,,,,,,
i2Reader,,Buggy,,,Using styles,,,,,,,,,
iBooks,,,,,,,,,,,,,,
Kindle,,,,,,,,,,,Pre-set choices only,,,Line; pre-set choices only
Kobo Reading App,,,,,,,Vertical swipe,,,,,,,
KyBook,,,,,Using themes,,,,Configurable,,,,,
KyBook 2,,,,Using themes,,,,Configurable,,,,,,
MapleRead,Configurable,,Configurable,Configurable,Configurable,,Vertical swipe,Configurable,,,,,,
Marvin,Configurable,,Configurable,,,,Vertical swipe,,Configurable,,,,,
MegaReader,Configurable,Buggy,Configurable,,Using themes,,Vertical swipe,,,,,,,Line only
PocketBook reader,,,,,,,,,,,,,,
ShuBook 2,,Buggy,Configurable,,,,Vertical swipe,Configurable,,,"None, small, large",,,
SideBooks,,,,,,,,,,,,,,
Stanza,,,Configurable,,,,Vertical swipe,,,,,,,
uBooks XL,,Buggy,,,,,,,,,,,,
iBouquiniste,,,,,,,,,,,,,,
Product,Multi-column mode,Styles (bold/italic/etc.),Page Turn Effects,Themes,Day/Night mode,Enable/Disable sleep mode,Brightness Control,Indent paragraph,Enable/Disable CSS,Enable/Disable hyphenation,Customize margins,Customize text alignment,Customize font,Customize spacing: line/paragraph
