Product,Developer,Pagination,Rotation Lock,Auto-scroll,Progress indicator,Backward/forward,Table of Contents,Bookmarks,Resume,Cloud synchronisation,Go To,Full text search
Apabi Reader[1],Beijing Founder Apabi Technology Limited,,,,In library and in-book,,,Unlimited,,,,
Blio[2],"K-NFB Reading Technology, Inc.",,,,In-book only,,,Unlimited,,,,
Bluefire Reader[3],Bluefire Productions,,,,In-book only,,,Unlimited,,,,
DL Reader[4],"Datalogics, Inc",,,,In-book only,,,Unlimited,,,,
eBookMobi[5],Tien Thinh Vu,,"support on iPad, portrait only on iPhone",,In library and in-book,,,Unlimited,,,,
Ebook Reader[6],Ebooks.com Limited,,,,In library and in-book,,,Unlimited,,,,
i2Reader[7],Yuriy Melyushin,,,,In-book only,,,Unlimited,,,,
iBooks[8],Apple,,,Manual,In-book only,,,Unlimited,,,,
Kindle[9],AMZN Mobile LLC,,,,In library and in-book,,,Unlimited,,,,
Kobo Reading App[10],Kobo Inc.,,,,In-book only,,,Last place marker only,,,,
KyBook Reader[11],Konstantin Bukreev,,,,In library and in-book,,,Unlimited,,,,
KyBook 2[12],Konstantin Bukreev,,,In library and in-book,,,Unlimited,,,,,
MapleRead[13],Maplepop LLC,,,,In library and in-book,Configurable,,Unlimited,,,,
Marvin[14],Appstafarian,,,,In library and in-book,Configurable,,Unlimited,,Optional,,
MegaReader[15],"Inkstone Software, Inc.",,,,In-book only,,,Unlimited,,,,
PocketBook reader[16],Obreey Products,,,,In-book only,,,,,,,
ShuBook 2[17],Ambibma Ltd.,,,,In library and in-book,,,Unlimited,,,,
SideBooks[18],"Tatsumi-system Co., Ltd.",,,,,,,,,,,
Stanza[19],Lexcycle,Configurable,,,In library and in-book,Configurable,,Unlimited,,,,
uBooks XL[20],Nix Solutions Ltd,Mixed scrolling & pagination,,,,,,Unlimited,,,,
iBouquiniste[21],Sandr,,,,In-book only,,,Unlimited,,,,
Product,Developer,Pagination,Rotation Lock,Auto-scroll,Progress indicator,Backward/forward,Table of Contents,Bookmarks,Resume,Cloud synchronisation,Go To,Full text search
