Product,Highlight,Annotate,Edit meta-data,Online dictionary,Offline dictionary,Lookup Wikipedia,Translate,Share,TTS support (read aloud),DRM support,Export to iTunes
Apabi Reader,,,,,,,,Two Chinese websites only,,,
Blio,,,,,,,,,,,
Bluefire Reader,,,"Author, Title, Publisher",,,,,"Facebook, Twitter, eMail",,,
DL Reader,,,"Author, Title, Publisher",,,,,,,Adobe DRM,
eBookMobi,,,,,,,,eMail,,,
Ebook Reader,,,,,,,,"Facebook, Twitter, eMail, Google+",,Adobe DRM,
i2Reader,,,,,,,,eMail,,,
iBooks,,,,,,,,"Facebook, Twitter, eMail, SMS"," yes, via VoiceOver",Apple FairPlay,
Kindle,,,,,,,,"Facebook, Twitter",,,
Kobo Reading App,,,,,,,,"Facebook, Twitter",,,
KyBook,,,,,,,,"Facebook, Twitter, eMail, VKontakte",,,
KyBook 2,,,,,,,"Facebook, Twitter, eMail, VKontakte",,,,
MapleRead,,,,,,,,,,,
Marvin,,,,,,,,"Facebook, Twitter, eMail, customizable",,,
MegaReader,,,,,,,,,,,
PocketBook reader,,,,,,,,"Facebook, Twitter, eMail, SMS",,,
ShuBook 2,,,"Author, Title, Label",,,,,"Whole book only, eMail",,,
SideBooks,,,,,,,,,,,
Stanza,,,,,,,,"Facebook, Twitter, eMail",,,
uBooks XL,,,,,,,,eMail,,,
iBouquiniste,,,,,,,,eMail,,,
Product,Highlight,Annotate,Edit meta-data,Online dictionary,Offline dictionary,Lookup Wikipedia,Translate,Share,TTS support (read aloud),DRM support,Export to iTunes
