Client,Developer,First public release,Monthly active users,Registration requirement,License,Operating system,,,,,,E2EE 2-user chat,E2EE group chat,File transfer,Voice recording,Client,Voice chat,Video chat,Read receipts,Editing sent messages,Deleting sent messages,Custom emoji,Stickers,Self-destructing messages,Lock screen,Screenshot protection (Android only)[1],App screenshot notification,User screenshot notification[2],Local encrypted,Themes / skins,Plugins,Peer-to-peer text chat,Open source servers,Federated servers,Privacy law compliant,Client
,,,,,,Windows,macOS,Linux,Web,Android,iOS,,,,,,,,,,,,,,,,,,,,,,,,,
ADAMANT Messenger,ADAMANT TECH LABS,"September 2, 2017; 3 years ago",,Nothing required,GPLv3,,,,,,,,,,,ADAMANT Messenger,,,,,,,,,,,,,?,N/A,,N/A,,,,ADAMANT Messenger
Discord,Discord Inc.,20150306,250 million (2019)[2],Email,Proprietary Freeware,,,,,,,,,,,Discord,,,,,,,,,,,,,?,,,,,,,Discord
eBuddy,Paulo Taylor,20030309,,Phone number,Proprietary Freeware,,,,,,,,,,,eBuddy,,,,,,,,,,?,?,?,?,,,,,,,eBuddy
Facebook Messenger,"Facebook, Inc.",20110809,1300 million (2019)[2],Facebook account or Phone number,Proprietary Freeware,,,,,,,,,,,Facebook Messenger,,,,,,,,,,?,?,?,?,,,,,,,Facebook Messenger
FireChat,Open Garden,201403,,Email,Proprietary Freeware,,,,,,,,,,,FireChat,,,,,,,,,,?,?,?,?,,,,,,,FireChat
Gadu-Gadu,?ukasz Foltyn / GG Network S.A.,20000815,,Email,Proprietary Freeware,,,,,,,,,,,Gadu-Gadu,,,,,,,,,,?,?,?,?,,,,,,,Gadu-Gadu
Gajim,Yann Le Boulanger,20040521,,Email,GPL,,,,,,,,,,,Gajim,,,,,,,,,,?,?,?,?,,,,,,,Gajim
ICQ,Mail.Ru,199611,,Phone number,Proprietary Freemium adware,,,,,,,,,,,ICQ,,,,,,,,,,?,?,?,?,,,,,,,ICQ
Jami,Savoir-faire Linux Inc.,2014,,Nothing required,GPLv3,,,,,,,,No groupchat,,,Jami,,,,,,,,,,?,?,?,?,,,,,,,Jami
Jitsi,Emil Ivov,2003,,,LGPL,,,,,,,,,,,Jitsi,,,,,,,,,,?,?,?,?,,,,,,,Jitsi
Kadu,Kadu Team,200108,,,GPLv2,,,,,,,,,,,Kadu,,,,,,,,,,?,?,?,?,,,,,,,Kadu
KakaoTalk,Kakao Corp.,20100318,49 million (2018)[4],,Proprietary Freeware,,,,,,,,,,,KakaoTalk,,,,,,,,,,?,?,?,?,,,,,,,KakaoTalk
Keybase,Keybase,"February 8, 2017; 201728 years ago",,Nothing required,New BSD License,,,,",,,,,,,Keybase,,,,,,,,,,",,,?,",,,,,,Keybase
Kik Messenger,Medialab,201010,15 million (2017)[5],Email,Proprietary Freemium adware,,,,,,,,,,,Kik Messenger,,,,,,,,,,?,?,?,?,,,,,,,Kik Messenger
Line,LINE Corporation,March 2012,700 million (2017),Phone number,Proprietary Freemium,,,,,,,,,,,Line,,,,,,,,,,?,?,?,?,,,,,,,Line
Mattermost,Mattermost Inc,2015,,,AGPLv3,,,,,,,,,,,Mattermost,,,,,,,,,,?,?,?,?,,,,,,,Mattermost
MCabber,Mikael Berthe,20050607,,,GPL,,,,,,,,,,,MCabber,,,,,,,,,,?,?,?,?,,,,,,,MCabber
Messages,Apple Inc.,20120725,,,Part of macOS and iOS,,,,,,,,,,,Messages,,,,,,,,,,?,?,?,?,,,,,,,Messages
Movim,Timothée Jaussoin,20110303,,Nothing required,AGPLv3,,,,,,,,,,,Movim,,,,,,,,,?,?,?,?,,,,,,,,Movim
Palringo,Palringo Ltd,2006,,Nothing required,Proprietary Freemium,,,,,,,,,,,Palringo,,,,,,,,,,?,?,?,?,,,,,,,Palringo
Paltalk,"AVM Software, Inc",199806,,Email,Proprietary Freeware,,,,,,,,,,,Paltalk,,,,,,,,,,?,?,?,?,,,,,,,Paltalk
Pidgin,Mark Spencer,199811,,,GPL,,,,,,,,,,,Pidgin,,,,,,,,,,?,?,?,?,,,,,,,Pidgin
Psi,Psi and Psi+ developers,2001,,,GPL,,,,,,,,,,,Psi,,,,,,,,,,?,?,?,?,,,,,,,Psi
RetroShare,"Cyril Soler, Gioacchino Mazzurco",2006 ,,Nothing required,GPL,,,,,,,,,,,RetroShare,,,,,,,,,,?,?,?,?,,,,,,,RetroShare
Ricochet,Invisible.im,201406,,,BSD,,,,,,,,,,,Ricochet,,,,,,,,,,?,?,?,?,,,,,,,Ricochet
Element,New Vector Limited,201607,,Nothing required,Apache License,,,,,,,,,,,Element,,,,,,,,,,?,?,?,?,,,,,,,Element
Sicher,SHAPE GmbH,201406,,Phone number,Proprietary Freeware,,,,,,,,,,,Sicher,,,,,,,,,,?,?,?,?,,,,,,,Sicher
Signal,Signal Messenger,201407,,Phone number,GPLv3,,,,,,,,,,,Signal,,,,,,,,,,,,,?,,,,,,,Signal
Silent Phone,Silent Circle,20130116,,Nothing required,Proprietary commercial software,,,,,,,,,,,Silent Phone,,,,,,,,,,?,?,?,?,,,,,,,Silent Phone
Skype,"Skype Technologies, a subsidiary of Microsoft Corporation",2003,300 million (2018)[4],,Proprietary Freemium adware,,,,,,,,,,,Skype,,,,,,,,,,?,?,?,?,,,,,,,Skype
Slack,Slack Technologies,20138,,Email,Proprietary Freemium,,,,,,,,,,,Slack,,,,,,,,,,?,?,?,?,,,,,,,Slack
Snapchat,Snap Inc.,201111,294 million (2019)[2],Email or Phone number,Proprietary Freeware,,,,,,,,,,,Snapchat,,,,,,,,,,?,?,?,?,,,,,,,Snapchat
Surespot,Surespot LLC,2013,,Nothing required,GPLv3,,,,,,,,No groupchat,,,Surespot,,,,,,,,,,?,?,?,?,,,,,,,Surespot
Telegram,Telegram Messenger LLP,2013,400 million (2020)[9],Phone number,"GPLv2, GPLv3[10]",,,,,,,,,,,Telegram,,,,,,,,,,,,,?,,,,,,,Telegram
Tencent QQ,Tencent Holdings,199902,823 million (2019)[2],,Proprietary Adware,,,,,,,,,,,Tencent QQ,,,,,,,,,,?,?,?,?,,,,,,,Tencent QQ
Threema,Threema GmbH,201212,,,Proprietary commercial software,,,,,,,,,,,Threema,,,,,,,,,,?,?,?,?,,,,,,,Threema
Trillian,Cerulean Studios,20000701,,Nothing required,Proprietary Freemium adware,,,,,,,,,,,Trillian,,,,,,,,,,?,?,?,?,,,,,,,Trillian
Viber,Rakuten Viber,20101202,260 million (2019)[2],Phone number,Proprietary Freemium,,,,,,,,,,,Viber,,,,,,,,,,,,,?,,,,,,,Viber
WeChat,Tencent Holdings Limited,20110121,1112 million (2019)[2],Phone number or QQ number,Proprietary Freeware,,,,,,,,,,,WeChat,,,,,,,,,,?,?,?,?,,,,,,,WeChat
WhatsApp,"WhatsApp Inc., a subsidiary of Facebook",200901,2000 million (2020)[11],Phone number,Proprietary Freeware,,,,,,,,,,,WhatsApp,,,,,,,,,,?,?,?,?,,,,,,,WhatsApp
Wickr,Wickr Inc.,201206,,Nothing required,Proprietary Trialware,,,,,,,,,,,Wickr,,,,,,,,,,,?,?,?,,,,,,,Wickr
Wire,Wire Swiss GmbH,20141203,,Email or Phone number,GPLv3,,,,,,,,,,,Wire,,,,,,,,,,?,?,?,?,,,,,,,Wire
