IDE,License,Windows,Linux,macOS,Other platforms,Written in,Debugger,GUI builder,Integrated toolchain,Profiler,Code coverage,Autocomplete,Static code analysis,GUI-based design,Class browser,Latest stable release,C compiler,C++ compiler,Refactoring
Anjuta,GPL,,,,FreeBSD,C,,,,,,,,,,2016-03,,,
AppCode (IntelliJ IDEA),,,,,,Java,,,,,,,,,,2012-12,,,
C++Builder,"Proprietary, Freeware (Starter edition only)",,,,cross-compiles for Android and iOS,C++ and Object Pascal,,,,,,,,,,2017-03 Tokyo 10.2,,,
Code::Blocks,GPL,,,,"FreeBSD, OpenBSD, Solaris",C++,,,,,,,,,,2020-03[6],,,
CodeLite,GPL,,,,FreeBSD,C++,,,,",,,,,,2020-02-28,",",
Dev-C++,GPL,,,,FreeBSD,Object Pascal,,,,,,,,,,2020-10-12,,,
Eclipse CDT,EPL,,,,"FreeBSD, JVM, Solaris","C++, Java",,,,,,,,,,2020-06[12][13][14],External,External,
Geany,GPL,,,,"FreeBSD, AIX, OpenBSD, Solaris, other Unix",C,,,,,,,,,,2019-04[15],External,External,
GNAT Programming Studio,GPL,,,,"DragonFly BSD, FreeBSD, NetBSD, OpenBSD, Solaris",Ada,,,,,,,,,,2016-06,,,
JetBrains CLion,Proprietary,,,,,Java,,,,,,,,,,2019-07[16],,,
KDevelop,GPL,,,,"FreeBSD, Solaris",C/C++,,,,,,,,,,2018-11,External,External,
LabWindows/CVI,,,,,"cross-compile to Linux, Phar Lap ETS",,,,,,,,,,,2016-12,,,
Microsoft Visual Studio,"Proprietary, Freeware (Community edition only)",,,,"Mac OS 7 (v2.x-v4.x only), Linux[17]",C++ and C#,,,,,,,,,,2019-04,,,
Microsoft Visual Studio Code, MIT,,,,,TypeScript JavaScript CSS,,,,,,,,,,2020-09,External,External,Requires language server support[19][20]
MonoDevelop,LGPL,,,,"FreeBSD, OpenBSD, Solaris",C#,,,,,,,,,,2016-11,,,
NetBeans C/C++ pack,CDDL and GPL,,,,"OpenBSD, Solaris",Java,,,,,,,,,,,External,External,
OpenWatcom,OSI Approved,,partial,,"FreeBSD, DOS, OS/2",C/C++,,,,,,,,,,2010-06,,,
Oracle Solaris Studio (formerly Sun Studio),"Proprietary, Freeware",,,,Solaris,,,,,,,,,,,2008-11,,,
Qt Creator,GPL / LGPL / Proprietary,,,,"FreeBSD, Maemo, OpenBSD, Symbian",C++,,,,,,,,,,2019-06,External,External,
Rational Software Architect (Eclipse IBM),,,,,"FreeBSD, JVM, Solaris",Java,,,,,,,,,,2015-09,External,External,
SlickEdit,,,,,"Solaris, Solaris SPARC, AIX, HP-UX",C++,,,,,,,,,,2018-12,External,External,
Ultimate++ TheIDE,BSD,,,,"FreeBSD, Solaris",C++,,,,,,,,,,2020-05,External,External,
Understand,,,,,Solaris,,,,,,,,,,,2015-12,,,
Xcode (Apple),,,,,cross compiles to iOS,"C, C++, Objective-C, Objective-C++",,,,,,,,,,2016-12,",",
IDE,License,Windows,Linux,macOS,Other platforms,Written in,Debugger,GUI builder,Integrated toolchain,Profiler,Code coverage,Autocomplete,Static code analysis,GUI-based design,Class browser,Latest stable release,C compiler,C++ compiler,Refactoring
