IDE,License,Windows,Linux,macOS,Developer,Other platforms,Latest stable release
Basic4android,,,,,Anywhere Software,cross-compile from Windows to Android,2018-03-20
FreeBASIC,GPL,,,,The FreeBASIC Development Team,"Windows, FreeBSD",2019-02-18
Gambas,GPL,,,,Benoît Minisini,"FreeBSD, Cygwin",2019-11-19
Microsoft Small Basic,,,,,Microsoft,,2015-10-01
Microsoft Visual Studio,,,,,Microsoft,,2017-10-19
MonoDevelop,LGPL,,,,Xamarin and the Mono community,"FreeBSD, OpenBSD, Solaris",2016-01-28
PBASIC Stamp Editor,,,,,Parallax Inc,,2014-07-02[4]
PureBasic,,,,,Fantaisie Software,AmigaOS,2020-03-30
SharpDevelop,LGPL,,,,ICSharpCode Team,,2015-07-14
SlickEdit,,,,,SlickEdit,"Solaris, Solaris SPARC, AIX, HP-UX",2018
Xojo,,,,,"Xojo, Inc.",Web,2015-12-17
