IDE,License,Written in Java only,Windows,Linux,macOS,Other platforms,GUI builder
BlueJ,GPL2+GNU linking exception,,,,,Solaris,
DrJava,Permissive,,,,,Solaris,
Eclipse JDT,EPL,,,,,"FreeBSD, JVM, Solaris",
Geany,GPL,,,,,"FreeBSD, AIX, OpenBSD, Solaris, other Unix",
Greenfoot,GPL,,,,,Solaris,
IntelliJ IDEA,"Community Edition: Apache License v2.0, Ultimate Edition: proprietary",,,,,"FreeBSD, OpenBSD, Solaris",
JBuilder,,,,,,Solaris,
JCreator,,,,,,,
JDeveloper,,,,,,generic JVM,
jGRASP,,,,,,,
MyEclipse,,,,,,"FreeBSD, JVM, Solaris",
NetBeans,"CDDL, GPL2",,,,,"OpenBSD, Solaris",
Rational Application Developer,,,,,,"AIX, Solaris",
Servoy,,,,,,Solaris,
SlickEdit,,,,,,"Solaris, Solaris SPARC, AIX, HP-UX",
Understand,,,,,,Solaris,
Xcode (Apple),,,,,,,
