,,,Trident,EdgeHTML,Gecko,WebKit,KHTML,Presto
Element selectors[16],,,,,,,,
CSS2,*,Universal,7.0,12,1.0,85,,rowspan="5" 1.0
,E,Element,4.0,12,1.0,85,,
,E.class,Class,7.0,12,1.0,85,,
,E#id,ID,4.0,12,1.0,85,,
selectors-3,E,Namespaced,9.0,12,1.0,,,
Relationship selectors,,,,,,,,
CSS2,E F,Descendant,4.0,12,1.0,85,,rowspan="3" 1.0
,E > F,Child,7.0,12,1.0,85,,
,E + F,Direct adjacent,7.0,12,1.0,85,,
selectors-3,E ~ F,Indirect adjacent,7.0,12,1.7,412,3.3.2,2.0
selectors-4,E /for/ F,Reference combinators,,,,,,
,E! > F,Subject,,,,,,
,F,E,Column relation,,,,,
Attribute selectors,,,,,,,,
CSS2,E[attr],Has,7.0,12,1.0,85,,rowspan="4" 1.0
,E[attr="value"],Equals,7.0,12,1.0,,,
,E[attr~="value"],Contains (space-separated),7.0,12,1.0,,,
,E[attr|="value"],Contains (hyphen-separated),7.0,12,1.0,,,
selectors-3,E[attr^="value"],Begins with,7.0,12,1.0,,3.4,1.0
,E[attr$="value"],Ends with,7.0,12,1.0,,3.4,rowspan="3" 2.0
,E[attr*="value"],Contains substring,7.0,12,1.0,,3.4,
,E[ns|attr],Namespaced,7.0,12,1.0,,3.4,
selectors-4,E[foo="bar" i],Case-sensitivity,,,,,,
Pseudo-classes,,,,,,,,
CSS2,E:link,Unvisited hyperlink,3.0,12,1.0,85,,rowspan="10" 1.0
,E:visited,Visited hyperlink,3.0,12,1.0,85,,
,E:active,Active,8.0,1.0,12,85,,
,E:hover,Mouseover,7.0,12,1.0,419.3,,
,E:focus,Focused,8.0,12,1.0,,,
,E:first-child,First child,7.0,12,1.0,85,,
,E:lang(),Language,8.0,12,1.2,525,3.4,
,@page:first,First page,rowspan="3" 8.0,rowspan="3" 12,rowspan="3" ,rowspan="3" ,rowspan="3" ,
,@page:left,Left page,,,,,,
,@page:right,Right page,,,,,,
selectors-3,E:root,Root,rowspan="17" 9.0,rowspan="17" 12,rowspan="2" 1.0,rowspan="2" 85,rowspan="16" 3.4,rowspan="12" 2.1
,E:not(),Negation,,,,,,
,E:empty,Empty,1.8,412,,,,
,E:first-of-type,First child of type,1.9.1,rowspan="13" 525,,,,
,E:last-child,Last child,1.0,,,,,
,E:last-of-type,Last child of type,1.9.1,,,,,
,E:only-child,Only child,1.8,,,,,
,E:only-of-type,Only child of type,1.9.1,,,,,
,E:nth-child,Nth child,1.9.1,,,,,
,E:nth-last-child,Nth last child,1.9.1,,,,,
,E:nth-of-type,Nth child of type,1.9.1,,,,,
,E:nth-last-of-type,Nth last child of type,1.9.1,,,,,
,E:target,Target,1.3,2.5,,,,
,E:enabled,Enabled state,1.8,rowspan="3" 2.0,,,,
,E:disabled,Disabled state,1.8,,,,,
,E:checked,Checked state,1.0,,,,,
selectors-4,E:indeterminate,Indeterminate state,1.9.2,522,,,,
,E:default,Default,,,1.9,,4.3,rowspan="7" 2.0
,E:valid,Valid,10.0[21],12,rowspan="4" 1.8,rowspan="2" ,rowspan="6" ,
,E:invalid,Invalid,10.0[23],12,,,,
,E:in-range,In range,,13,rowspan="2" ,,,
,E:out-of-range,Out of range,,13,,,,
,E:required,Required,10.0[25],12,rowspan="2" 2.0[26],rowspan="2" ,,
,E:optional,Optional,10.0[28],12,,,,
,E:read-only,Read-only,,13,rowspan="2" Experimental[29],rowspan="2" ,rowspan="2" Incorrect,rowspan="2" Incorrect
,E:read-write,Read and write,,13,,,,
,"E:not(s1, s2)",Negations,rowspan="22" ,rowspan="22" ,,rowspan="22" ,rowspan="22" ,rowspan="22" 
,"E:matches(s1, s2)",Matches-any,,,,,,
,E:has(s1),Relational pseudo-class,,,,,,
,E:dir(ltr),Directionality,17[31],,,,,
,"E:lang(zh, *-hant)",Languages,,,,,,
,E:any-link,Hyperlink,50.0[32],,,,,
,E:local-link,Local link,rowspan="2" ,,,,,
,E:local-link(0),Local link,,,,,,
,E:scope,Contextual reference,20[33],,,,,
,E:current,Time-dimensional : current,rowspan="13" ,,,,,
,E:current(s),Time-dimensional : current,,,,,,
,E:past,Time-dimensional : past,,,,,,
,E:future,Time-dimensional : future,,,,,,
,E:nth-match(n of selector),Nth child of,,,,,,
,E:nth-last-match(n of selector),Nth last child of,,,,,,
,E:column(selector),Column,,,,,,
,E:nth-column(n),Nth column,,,,,,
,E:nth-last-column(n),Nth last column,,,,,,
,E:placeholder-shown,placeholder text,,,,,,
,E:active-drop,will receive the item,,,,,,
,E:valid-drop,could receive the item,,,,,,
,E:invalid-drop,cannot receive the item,,,,,,
Pseudo-elements,,,,,,,,
CSS2,E:first-letter,First letter,rowspan="2" 9.0,rowspan="4" 12,rowspan="2" 1.0,85,rowspan="4" ,rowspan="4" 1.0
,E:first-line,First line,Partial,,,,,
,E:before,Before,rowspan="2" 8.0,rowspan="2" 1.9.1,rowspan="2" Partial,,,
,E:after,After,,,,,,
selectors-3,E::before,Double colon notation,rowspan="4" 9.0,rowspan="4" 12,rowspan="2" 1.9.1,rowspan="2" Partial,rowspan="4" 3.4,rowspan="4" 1.0
,E::after,Double colon notation,,,,,,
,E::first-letter,Double colon notation,rowspan="2" 1.5,85,,,,
,E::first-line,Double colon notation,Partial,,,,,
css-pseudo-4,E::marker[34],list marker,,,,,,
,E::selection,Selection,9.0,12,Experimental[35],412,3.4,2.1
CSS UI pseudo elements,E::value,user interface element fragments[36],rowspan="4" ,rowspan="4" ,rowspan="4" ,rowspan="4" ,rowspan="4" ,rowspan="4" 
,E::choices,,,,,,,
,E::repeat-item,,,,,,,
,E::repeat-index,,,,,,,
,,,Trident,EdgeHTML,Gecko,WebKit,KHTML,Presto
