,,Trident,Tasman,Gecko,WebKit,KHTML,Presto
Interface Range,,,,,,,
DOM2,startContainer,rowspan="24" ,?,rowspan="24" 1.0,rowspan="24" ,?,rowspan="24" 1.0
,startOffset,?,?,,,,
,endContainer,?,?,,,,
,endOffset,?,?,,,,
,collapsed,?,?,,,,
,commonAncestorContainer,?,?,,,,
,setStart(),?,?,,,,
,setEnd(),?,?,,,,
,setStartBefore(),?,?,,,,
,setStartAfter(),?,?,,,,
,setEndBefore(),?,?,,,,
,setEndAfter(),?,?,,,,
,collapse(),?,?,,,,
,selectNode(),?,?,,,,
,selectNodeContents(),?,?,,,,
,compareBoundaryPoints(),?,?,,,,
,deleteContents(),?,?,,,,
,extractContents(),?,?,,,,
,cloneContents(),?,?,,,,
,insertNode(),?,?,,,,
,surroundContents(),?,?,,,,
,cloneRange(),?,?,,,,
,toString(),?,?,,,,
,detach(),?,?,,,,
Interface DocumentRange,,,,,,,
DOM2,createRange(),,?,1.0,,?,1.0
Exception RangeException,,,,,,,
DOM2,code,,?,1.0,,?,1.0
