String object,Trident,Gecko,WebKit,Presto,Blink
Called as function,,,,,
String([value]),,,,,
Called as constructor,,,,,
new String([value]),3.0,1.0,,1.0,
Properties,,,,,
prototype,4.0,1.0,,1.0,
"fromCharCode([char0 [, char1 [, ...]]])",4.0,1.0,,1.0,
Properties of prototype,,,,,
constructor,4.0,1.0,,1.0,
toString(),3.0,1.0,,1.0,
valueOf(),3.0,1.0,,1.0,
charAt(pos),3.0,1.0,,1.0,
charCodeAt(pos),5.5,1.0,,1.0,
"concat([string1 [, string2 [, ...]]])",4.0,1.0,,1.0,
"indexOf(searchString, position)",3.0,1.0,,1.0,
"lastIndexOf(searchString, position)",3.0,1.0,,1.0,
localeCompare(that),5.5,1.0,,1.0,
match(regexp),4.0,1.0,,1.0,
"replace(searchValue, replaceValue)",3.0,1.0,,1.0,
search(regexp),4.0,1.0,,1.0,
"slice(start, end)",4.0,1.0,,1.0,
"split(separator, limit)",4.0,1.0,,1.0,
"substring(start, end)",3.0,1.0,,1.0,
toLowerCase(),3.0,1.0,,1.0,
toLocaleLowerCase(comparefn),3.0,1.0,,1.0,
toUpperCase(),3.0,1.0,,1.0,
toLocaleUpperCase(),3.0,1.0,,1.0,
Additional properties of prototype,,,,,
"substr(start, length)",4.0,1.0,,1.0,
Properties of instances,,,,,
length,3.0,1.0,,1.0,
