Array object,Trident,Gecko,WebKit,Presto,Blink
Called as function,,,,,
"Array([item1 [, item2 [, ...]]])",,,,,
Called as constructor,,,,,
"new Array([item1, item2 [, ...]])",4.0,1.0,,1.0,
new Array(len),4.0,1.0,,1.0,
Properties,,,,,
prototype,4.0,1.0,,1.0,
Properties of prototype,,,,,
constructor,4.0,1.0,,1.0,
toString(),4.0,1.0,,1.0,
toLocaleString(),5.5,1.0,,1.0,
"concat([item1 [, item2 [,...]]])",4.0,1.0,,1.0,
join(separator),4.0,1.0,,1.0,
pop(),5.5,1.0,,1.0,
"push([item1 [, item2 [,...]]])",5.5,1.0,,1.0,
reverse(),4.0,1.0,,1.0,
shift(),5.5,1.0,,1.0,
"slice(start, end)",4.0,1.0,,1.0,
sort(comparefn),4.0,1.0,,1.0,
"splice(start, deleteCount [, item1 [, item2 [, ...]]])",5.5,1.0,,1.0,
"unshift([item1 [, item2 [, ...]]])",5.5,1.0,,1.0,
"indexOf(searchElement[, fromIndex])",rowspan="9" 9.0[2],1.8,522,2.1,
"lastIndexOf(searchElement[, fromIndex])",1.8,522,2.1,,
"filter(callback[, thisObject])",1.8,522,2.1,,
"forEach(callback[, thisObject])",1.8,522,2.1,,
"every(callback[, thisObject])",1.8,522,2.1,,
"map(callback[, thisObject])",1.8,522,2.1,,
"some(callback[, thisObject])",1.8,522,2.1,,
"reduce(callback[, initialValue])",1.9,528,2.5.22,,
"reduceRight(callback[, initialValue])",1.9,528,2.5.22,,
Properties of instances,,,,,
length,4.0,1.0,,1.0,
