Attribute,Element,Alternative solution,Trident,Gecko,WebKit,KHTML,Presto
align,"caption, div, fieldset, h1, h2, h3, h4, h5, h6, hr, img, input, legend, p, object, table",CSS,rowspan="6" 3.1,rowspan="6" ,,rowspan="18" ,rowspan="18" 
alink,body,CSS,,,,,
background,body,CSS,rowspan="2" ,,,,
bgcolor,"body, table, tr, td, th",CSS,,,,,
border,"img, object",CSS,,,,,
clear,br,CSS,rowspan="2" ,,,,
compact,"dl, ul, ol",CSS,,,,,
color,"basefont, font",CSS,rowspan="11" 3.1,,,,
height,"td, th",CSS,rowspan="2" ,rowspan="10" ,,,
hspace,"img, object",CSS,,,,,
language,script,The type attribute,date=September 2010,,,,
link,body,CSS,rowspan="7" ,,,,
noshade,hr,CSS,,,,,
nowrap,"td, th",CSS,,,,,
size,"basefont, font, hr",CSS,,,,,
start,ol,None,,,,,
text,body,CSS,,,,,
type,"li, ul, ol",CSS,,,,,
version,html,DTD,,,,,
vlink,body,CSS,rowspan="3" ,rowspan="3" ,rowspan="3" ,rowspan="3" ,rowspan="3" 
width,"hr, pre, td, th",CSS,,,,,
vspace,"img, object",CSS,,,,,
