 00000,00000Server OS support,,,00000Features,,,,,,,,,,,,00000Storage,, 00000Users
Mail server,Linux/ Unix,Windows,Mac OS,SMTP,POP3,IMAP,JMAP,IMAP IDLE,SMTP over TLS,POP over TLS,IPv6,SSL,DANE,Webmail,ActiveSync,Sieve,Database,Filesystem
agorum core,,,,,,,,,,,,,,,,,,
Apache James,,,,,,,,,,,,,,,,,,
Axigen,,,,,,,,,,,,,,"Ajax, Basic & Mobile",,,"Proprietary, Embedded, Optimized for Email & Groupware",
Citadel,,,,,,,,,,,,,,,,,,
CommuniGate Pro,,,,,,,,,,,,,,,,,,
Courier Mail Server,,,,,,,,,,,,,,,,maildrop,,maildir
Cyrus IMAP,,,,,,,,,,,,,,,,,,
Dovecot,,,,,,,,,,,,,,,,,,"maildir, mbox, dbox"
Eudora Internet Mail Server,,,,,,,,,,,,,,,,,,
Exim,,,,,"Dovecot, UW IMAP","Dovecot, UW IMAP",,"Dovecot, UW IMAP",,,,,,,,,,
FirstClass,,,,,,,,,,,,,,,,,,
Gordano Messaging Suite,,,,,,,,,,,,,,,,,,
GroupWise,,,,,,,,,,,,,,,,,,
Halon,,,,,,,,,,,,,,,,,,
Haraka,,,,,,,,,,,,,,,,,,
hMailServer,,,,,,,,,,,,,,,,,,
IBM Lotus Domino,,,,,,,,,,,,,,,,,,
IceWarp Mail Server,,,,,,,,,,,,,,,,,,
Ipswitch IMail Server,,,,,,,,,,,,,,,,,,
Kerio Connect,,Yes,Yes,,,,,,,,,,,,,,,
Kolab,,,,,,,,,,,,,,,,,,
Kopano,,,,External[12],,,,,External[12],,,,,,,,,
Mailsite,,,,,,,,,,,,,,,,,,
Mailtraq,,,,,,,,,,,,,,,,,,
MDaemon,,,,,,,,,,,,,,,,,,
Mercury Mail Transport System,,,,,,,,,,,,,,,,,,
Microsoft Exchange Server,,,,,,,,,,,,,,,,,,
NetMail,,,,,,,,,,,,,,,,,,
OpenSMTPD,,,,,,,,,,,,,,,,,possible through custom backends,
Open-Xchange,,,,,,,,,,,,,,,,,,
Oracle Communications Messaging Server,,,,,,,,,,,,,,,,,,
Postfix,,,,,"Dovecot, UW IMAP","Dovecot, UW IMAP",,"Dovecot, UW IMAP",,,,,,,,,,
qmail,,,,,,"Dovecot, UW IMAP",,"Dovecot, UW IMAP",,"Dovecot, UW IMAP",via Qsmtp,,,,,,(cdb),
Qpopper,,,,,,,,,,,,,,,,,,
Scalix,,,,,,,,,,,,,,,,,,
Sendmail,,,,,"Dovecot, UW IMAP","Dovecot, UW IMAP",,"Dovecot, UW IMAP",,,,,,,,,,
SparkEngine,,,,,,,,,,,,,,,,,,
UW IMAP,,,,,,,,,,,,,,WebPine,,,,
WinGate,,,,,,,,,,,,,,,,,,
Zarafa,,,,External[12],,,,,External[12],,,,,,,,,
Zentyal,,,,,,,,,,,,,,,,,,
Zimbra,,,,,,,,,,,,,,,,,,
Mail server,Linux/ Unix,Windows,Mac OS,SMTP,POP3,IMAP,JMAP,IMAP IDLE,SMTP over TLS,POP over TLS,IPv6,SSL,DANE,Webmail,ActiveSync,Sieve,Database,Filesystem
