Client,CHAT,Whiteboard,SEND,GET,RESUME,TSEND,SEND T,XMIT,Passive DCC,Server,RDCC,REVERSE,RSEND,Reverse / Firewall DCC,File servers (FSERVs),XDCC
AndroidChat,,,,,,,,,,,,,,,,
Mobile Colloquy,date=August 2010,,,,,,,,,,,,,,,
fIRC,,,,,,,,,,,,,,,,
jmIrc,,,,,,,,,,,,,,,,
k-IRC,,,,,,,,,,,,,,,,
Revolution IRC,,,,,,,,,,,,,,,,
Virca,,,,,,,,,,,,,,,,
wIRC,,,,,,,,,,,,,,,,
WLIrc,,,,,,,,,,,,,,,,
Yaaic,,,,,,,,,,,,,,,,
Simple IRC,,,,,,,,,,,,,,,,
zsIRC,,,,,,,,,,,,,,,,
Client,CHAT,Whiteboard,SEND,GET,RESUME,TSEND,SEND T,XMIT,Passive DCC,Server,RDCC,REVERSE,RSEND,Reverse / Firewall DCC,File servers (FSERVs),XDCC
