Client,First public release,,First stable release,,Latest stable release
,Date,Version,Date,Version,
AndroidChat,2008,,,,
Colloquy (software),"January 28, 2009",1.0,,,
fIRC,"December 22, 2008",0.1.0,,,
jmIrc,"May 14, 2004",0.60,,,
k-IRC,"August 20, 2002",1.0,,,
Revolution IRC,"August 25, 2017",0.2.0,,,
Virca,2003,0.0.1,,,
wIRC,,,,,
WLIrc,"September 15, 2003",0.90,,,
Yaaic,"March 14, 2010",0.1,,,
Simple IRC,"November 18, 2016",1.0,,,
zsIRC,"June 13, 2006",,,,
Client,Date,Version,Date,Version,Latest stable release
,First public release,,First stable release,,
