Feature,Android,iOS,Tizen,Sailfish OS,Ubuntu Touch
While-in-use permissions,10+,11+: Location only[31],,,
Per-app Internet access,",7+: Cellular only;[34] 3rd party software on jailbroken devices[35],,,
Per-app identity access,8+[36],6+[37][38],,,
Per-app user data access,6+[39],6+[40],,,
Per-app background execution,",7+[43],,,Background execution not allowed
Per-app notifications,4.1+[44],5+[45][46],,,
Per-app location access,6+[39],4+[47],,,
Per-app camera access,6+[39],8+[48],,,
Per-app microphone access,6+[39],7+[49],,,
Per-app shared files access,6+[39],8+[50],,,
Per-app network data usage auditing,4+[51],,?,,
Fine grained storage usage,,5+[55],?,,
Parental controls,4.3+ or 3rd party software[56],,?,,
Screen orientation lock,,,?,1.0.4+[60],
File manager,6.0+[61],11+[62],,,
File manager write access to external storage,6+ Or 3rd party software like LineageOS,13+,,,
Multi-user,"4.2+, including phones 5+[65][66]",9.3+: Education use only on iPad[67],,3.4.0+,
Guest mode,5+[68],6+[69],,3.4.0+,
Guided Access,,,,,
Do not disturb mode,5+[71],6+[72],,,
App groups,,4+[73],?,1.0.7+[74],
