Model,Amazon Video,Crackle,Flixster,Google Play (Google TV),Hulu,iTunes (Apple TV),Movies Anywhere,Netflix,Sling TV [8],Vevo,Vimeo,VUDU,WWE Network,YouTube,UltraFlix
Amazon Fire TV,,,,,,,,,,,,,,,
Apple TV,,,,,,,,,,,,4th generation and later,,with software version 7.2 and later, Yes (HD)
Asus Cube,,,,,,,?,,,,,,,,
Google Chromecast/Nexus Player,,,,,,,,,,,,,,,
Hisense Pulse,,,,,,,?,,,,,,,,
Little Smart Box,,,,,,,?,,,,,,,,
Microsoft Xbox,,,,,,,,,,,,,,,
NanoTech Nuvola,,,,,,,?,,,,,,,,
Nintendo,,,,,,,?,,,,,,,,
Roku Devices,,,,,,,,,,,,,,,
SHIELD Android TV,,,,,,,?,,,,,,,,
Sony PlayStation,,,,,,,?,,,,,,,,
Vizio Co-Star,,,,,LT only,,?,,,,,,,,
Western Digital WD TV,,,,,,,?,Live and Play versions,,,,,,,
