,Word processing Software,Spreadsheet Software,Presentation Software,Notetaking software,Diagramming software,Raster graphics editor,Vector graphics editor,Image viewer,Formula editor,Database management software,Project management software,Desktop publishing software,Communication,Calendaring software,File hosting service
Ability Office,Ability Write,Ability Spreadsheet,Ability Presentation,,Ability Draw,Ability Photopaint,Ability Draw,Ability Photoalbum,,Ability Database,,,,,
Apache OpenOffice,OpenOffice Writer,OpenOffice Calc,OpenOffice Impress,,OpenOffice Draw,,OpenOffice Draw,,OpenOffice Math,OpenOffice Base,Import/Export capabilities with ProjectLibre and others[19],OpenOffice Draw,,,
Breadbox Office,Writer,Spreadsheet,,,,Artist,Artist,,,Geofile,,,,,
Calligra Suite,Calligra Words ,Calligra Sheets,Calligra Stage,Braindump,Calligra Flow,Krita,Karbon,,KFormula,Kexi,Calligra Plan,Calligra Words,,,
Feng Office Community Edition,,,,,,,,,,,,,,,
GobeProductive,,,,,,,,,,,,,,,
G Suite,Google Docs,Google Sheets,Google Slides,Google Keep,Google Drawings,Google Drawings,Google Drawings,Google Photos,,Google Fusion Tables,,,Hangouts Chat/Meet,Google Calendar,Google Drive
iWork,Pages,Numbers,Keynote,Notes,,,,,,,,Pages,,,iCloud
LibreOffice,LibreOffice Writer,LibreOffice Calc,LibreOffice Impress,,LibreOffice Draw,LibreOffice Draw[20],LibreOffice Draw,LibreOffice Draw[20],LibreOffice Math,LibreOffice Base,Import/Export capabilities with ProjectLibre and others[19],LibreOffice Draw,,,
Lotus SmartSuite,Lotus Word Pro,Lotus 1-2-3,Lotus Freelance Graphics,,Lotus Freelance Graphics,,,,built in,Lotus Approach,Lotus Organizer,,,,
MarinerPak,Mariner Write,Mariner Calc,,,,,,,,,,,,,
Microsoft Office,Microsoft Word,Microsoft Excel,Microsoft PowerPoint,Microsoft OneNote,Microsoft Visio (Viewer; Separate product purchase required),,Microsoft Visio (Viewer; Separate product purchase required),Microsoft Office Picture Manager (Discontinued as of 2011; Word and PowerPoint have some functionality)[21],Equation Editor,Microsoft Access (Professional and Professional Plus),Microsoft Project (Separate product purchase required),"Microsoft Publisher (Standard, Professional and Professional Plus)",Microsoft Teams,Microsoft Outlook,OneDrive
Microsoft Works (Discontinued in 2009),Microsoft Works Word Processor,Microsoft Works Spreadsheet,Microsoft Office PowerPoint (Viewer),,,,,,,Microsoft Works Database,,,,,
MobiSystems OfficeSuite,Word Module,Spreadsheet Module,Presentation Module,,,,,,,,,,,,
NeoOffice,NeoOffice Writer,NeoOffice Calc,NeoOffice Impress,,NeoOffice Draw,,NeoOffice Draw,,NeoOffice Math,NeoOffice Base,,NeoOffice Draw,,,
SoftMaker Office,Textmaker,PlanMaker,Presentations,,,,,,,"DataMaker (Discontinued as of 1999)      - ! StarOffice  StarWriter  StarCalc  StarImpress   StarDraw   StarDraw   StarMath  StarBase   StarDraw    - ! TeamLab                - ! TeXmacs          High quality maths typesetting    under development    - ! ThinkFree Office  Write  Calc  Show             - ! Tiki Wiki CMS Groupware  Tiki Wiki  Tiki Spreadsheet  Tiki Slideshow with S5 format  Tiki Notepad  Tiki Draw via SVG-edit  Tiki Draw via SVG-edit  Tiki Draw via SVG-edit  Tiki File Gallery   Tiki Trackers  Tiki Trackers, Tiki Wiki and Tiki Task     - ! WordPerfect Office  WordPerfect  Quattro Pro  Corel Presentations  WordPerfect Lightning  Corel Presentations  Corel Paint Shop Pro  Corel Draw   Equation Editor  Paradox (in Professional version only)      - ! WPS Office (Kingsoft Office)  WPS Writer Support More than 200 Language Typesetting  WPS Spreadsheets Support More than 200 Functions  WPS Presentation       Equation Editor (Currently unavailable for Linux)       - ! Zoho Office Suite  Zoho Writer  Zoho Sheet  Zoho Show  Zoho Notebook       Zoho Reports  Zoho Projects     -class="sortbottom" ! ! Word processing Software ! Spreadsheet Software ! Presentation Software ! Notetaking software ! Diagramming software ! Raster graphics editor ! Vector graphics editor ! Image viewer ! Formula editor ! Database management software ! Project management software ! Desktop publishing software ! Communication ! Calendaring software ! File hosting service  Online capabilities Software Name E-mail client HTML editor Collaborative software Online editing Ability Office OpenOffice Writer[22]  Feng Office Community Edition Gmail Google Sites Fully online iWork Mail iCloud LibreOffice Can interface with email clients and Mail Merge Wizard can send email directly from LibreOffice[23] LibreOffice Writer LibreOffice Calc Lotus FastSite Microsoft Outlook (Not included in Microsoft Office 2013 or 2016 Home & Student)[25][26] Microsoft SharePoint Designer. Versions after Office 2000 Premium and Developer contain Microsoft FrontPage, the full-blown web page editor. Microsoft Word can read and write HTML starting with a free special upgrade for Word 6.0 Microsoft SharePoint (Available for separate subscription)[27] Office Online Microsoft Works Microsoft Office Live MobiSystems OfficeSuite OfficeSuite Mail for Windows, AquaMail for Android NeoOffice Writer[22] Fully online SoftMaker Office a bundled Mozilla Thunderbird StarWriter[22] allows to read emails under development Note ThinkFree.com Tiki Wiki CMS Groupware Tiki Webmail WYSIWYG editor via CKEditor Fully online WordPerfect Office has mail merge capabilities[28] available in Android Zoho Mail Zoho Writer 2 ,,,,,
Software Name,E-mail client,HTML editor,Collaborative software,Online editing,,,,,,,,,,,
Ability Office,,,,,,,,,,,,,,,
Apache OpenOffice,,OpenOffice Writer[22],,,,,,,,,,,,,
Breadbox Office,,,,,,,,,,,,,,,
Calligra Suite,,",,,,,,,,,,,,,
| Feng Office Community Edition,,,,,,,,,,,,,,,
GobeProductive,,,,,,,,,,,,,,,
Google Apps for Work,Gmail,Google Sites,,Fully online,,,,,,,,,,,
iWork,Mail,,,iCloud,,,,,,,,,,,
LibreOffice,Can interface with email clients and Mail Merge Wizard can send email directly from LibreOffice[23],LibreOffice Writer,LibreOffice Calc,,,,,,,,,,,,
Lotus SmartSuite,,Lotus FastSite,,,,,,,,,,,,,
MarinerPak,,,,,,,,,,,,,,,
Microsoft Office,Microsoft Outlook (Not included in Microsoft Office 2013 or 2016 Home & Student)[25][26],"Microsoft SharePoint Designer. Versions after Office 2000 Premium and Developer contain Microsoft FrontPage, the full-blown web page editor. Microsoft Word can read and write HTML starting with a free special upgrade for Word 6.0",Microsoft SharePoint (Available for separate subscription)[27],Office Online,,,,,,,,,,,
Microsoft Works,,,,Microsoft Office Live,,,,,,,,,,,
MobiSystems OfficeSuite,"OfficeSuite Mail for Windows, AquaMail for Android",,,,,,,,,,,,,,
NeoOffice,,NeoOffice Writer[22],,,,,,,,,,,,,
ONLYOFFICE,,,,Fully online,,,,,,,,,,,
SoftMaker Office,a bundled Mozilla Thunderbird,,,,,,,,,,,,,,
StarOffice,,StarWriter[22],,,,,,,,,,,,,
TeXmacs,allows to read emails,,under development,,,,,,,,,,,,
TeamLab,,,,,,,,,,,,,,,
ThinkFree Office,,Note,,ThinkFree.com,,,,,,,,,,,
Tiki Wiki CMS Groupware,Tiki Webmail,WYSIWYG editor via CKEditor,,Fully online,,,,,,,,,,,
WordPerfect Office,has mail merge capabilities[28],,,,,,,,,,,,,,
WPS Office (Kingsoft Office),available in Android,,,,,,,,,,,,,,
Zoho Office Suite,Zoho Mail,Zoho Writer,,,,,,,,,,,,,
Software Name,E-mail client,HTML editor,Collaborative software,Online editing,,,,,,,,,,,
