Name,Description/Focus,Registered users,Alexa ranking,Free,Premium,Supports same-sex connections,Supports non-monogamous connections,Messaging other users,STD-notification,background checks
Adam4Adam,"Connects men with men "for friendship, romance, or a hot hookup".",,9829[1],,Yes,,,,,
Adult FriendFinder,Members can connect with other adult members based on profiles.,"30,000,000, as of 2006[3]",2944[4],,,,,,,
AnastasiaDate,Connects Western men with women from Russia and former Soviet Republics – CIS,"4,000,000, as of 2013date=May 2020",38225[5],,Yes,,,,,
Ashley Madison,Members are matched up with other married adult members based on profiles.,"17815000, as of February 2013[6]",10615[7],,,,,,,
Badoo,"Badoo enable users to meet new people in their area for chat, dating or to make new friends. Available in 44 languages on the web and on 12 different mobile platforms.",403600000 as of Oct 2018[8],1454[9],,",,,,,
BeautifulPeople.com,"Dating website where membership is based on a vote, in which existing members rate how attractive they perceive prospective members to be.","800,000 as of 2015[10]",236914[11],,Yes; free profile but subscription required for most features including messaging.,,,,,
Bumble,Dating app where women send the first message (for heterosexual matches),"22,000,000 as of 2017[12]",19208[13],,,,,"Yes, after mutual match. (In heterosexual matches, messaging can only be initiated by woman.)",,
Christian Connection,"For Christian singles from the UK, Ireland, Australia, New Zealand, USA, Canada and Singapore",,18327[14],",",,,,,
ChristianMingle,Dating site that caters to Christian singles. Members may choose whether to specify the Christian denomination to which they belong.,"12,000,000 as of 2019[15]",27587[16],,,,,,,
Coffee Meets Bagel,App providing daily curated matches based on Facebook connections,,208421[17],,",,,,,
Compatible Partners,eHarmony's service for same-sex relationships,,434220[19],,Yes,,,,,
Cupid.com,Dating website for people who are looking for romantic relationships. Cupid.com is owned by NSI Holdings Ltd.,8000000 as of 2016date=July 2018,96226[20],,",,,,,
DateMySchool,Dedicated to verified college students and alumni (via education database). Strong emphasis on privacy and safety. Can block by departments and schools. Members only see intersection of what they are looking for and what other members are looking for.,179000 as of 2013[21],796871[22],,,,,,,
DNA Romance / SingldOut,"Web App providing curated matches based on "chemistry attraction", personality compatibility and you also see a photograph. SingldOut has changed its web address DNA-Romance.com.",,1578369[23],,,,,,,
eHarmony,Dating site based upon pre-screening using personality tests.,,21115[24],,Yes; free profile but subscription required for most features including messaging.,,,,,
Facebook Dating,Digital dating product at Facebook,,?,?,?,?,,?,,
Gaydar,"Profile-based dating website for gay and bisexual men, women, and couples.",,923130[26],,,,,,,
GayRomeo / PlanetRomeo,"Worldwide social network, instant messaging and dating community for gay, bisexual and transgender men.",6740000 registered and 1107000 active (last 6 weeks)[27],707590[28],",",,,,,
Gleeden,"Social network, instant messaging and dating community for extra-marital relationships.",,73043[29],,",,,,,
Grindr,Geosocial networking application based on Android and iOS.,"3,600,000 daily active users as of 2018[30]",77133[31],,,,,,,
Her[33],Geosocial networking application based on Android and iOS with Facebook integration. Men are not allowed to create profiles on the platform.,,9365703[34],,,,,,,
Hily,Mobile dating site,15000000 as of 2020[35],255415[36],,,,,,,
JDate,Dating site that serves people of a Jewish background as well as those interested in them.,,107452[37],,,,,,,
JSwipe,Online dating app targeted at millennial Jewish singles.,800000 as of September 2016[38],1432932[39],,,,Implicitly discouraged[38],"Yes, after mutual match. Otherwise, premium-only feature.",,
Lovestruck.com,"Online dating for single professionals in UK, Hong Kong and Singapore","300,000 registered as of 2012[40]",1041667[41],,Yes,,,,,
Mamba,"Social-network-like dating site, primarily CIS/former Soviet Union, but some international presence. Primary language is Russian, but all languages welcome (and searchable). Caters to all audiences.",40000000 as of 2019[42],"4264[43] for named portal; also 3-5% of mail.ru (#31) and rambler.ru (#191), which offer access to the same services and communication with the entire user pool through love.mail.ru and love.rambler.ru subdomains",","Yes: Premium content like additional search criteria and double appearances in others' relevant searches for "VIP membership". Single payments for regional advertising of profile (one-time appearance in scrolling banner for $1 – user picture, link, short text for mouseover; bidding war for stationary second banner + cost of $1/minute).",,,,,
Macherie.club,Online dating for single professionals in Hong Kong,"100,00 registered as of 2012[44]",1041667[45],,Yes,,,,,
Manhunt,Profile-based dating website for men seeking men,,28291[46],",",,,,,
Match.com,,"96000000 registered; as of 2010[47] 1,377,000 active (2009)[48]",2113[49],,Yes,,,,,
Matchmaker.com,Dating service founded in 1986,,259771[50],,,,,,,
Meetic,European online dating service owned by IAC,42000000 registered as of 2011[51],67919[52],,Yes,,,,,
Moonit,Offers compatibility match according to user' birthdate.,2000000 registered; as of 2014[53],747471[54],,,,,,,
OkCupid (OkC),Uses answers from user-generated questions to find matches that conform to a user's stated preferences.,30000000+ active as of 2013,"1,519[55]",,",,,"Yes, after mutual match.",,
Parship,"Dating site for people looking for a long-term relationship, using a personality test. Available in Europe and Mexico.",,224512[58],,Yes; free profile but subscription required for most features including messaging.,,,,,
Perfectmatch.com,This dating website is using heuristic algorithms to find matches.,,2300989[59],,Yes,,,,,
POF (PlentyofFish),"Dating site mostly active in United States, Canada, United Kingdom and Brazil","100,000,000 registered as of 2015[60]",2670[61],,",,,,,
Right Stuff,"Dating site for graduates and faculty of Ivy League, Seven Sisters, and about 50 similar colleges and universities and medical schools",4900,4522502[63],No,"$50 Fee for 6 month membership, plus $3 for profile of members of interest",?,?,,,
Scruff,Dating app for gay and bisexual men,10 million registered users (2016)[64],339730[65],,,,,,,
Sniffies.com,Browser based dating and hookup app for gay and bisexual men,,116091[66],,,,,,,
SpeedDate.com,"Online speed dating site, where users meet via text, audio, and video chat",9000000 registered as of 2010[47],299586[67],,Premium users can continue communicating after unlimited free speed dates,,,,,
Taimi,Geosocial networking application based on Android and iOS for LGBTQI+ community.,"2,000,000+ as of 2019[68]",342235[69],,,,,,,
Tastebuds.fm,Utilizes tastes in music,,115370[70],2014),Yes; Subscription required to send or receive messages.,,,Used to be free and is free for users that joined before it became non-free. Not free for new users,,
Tawkify,Has human matchmakers who set up matches rather than having users find each other.[71],,169895[72],,,,,,,
Tinder,Mobile single dating site,50000000 registered; as of 2015[73],14870[74],,",,,"Yes, after mutual match.",,
