Name,CVS,Git,Hg,SVN,BZR,TFVC,Arch,Perforce,Fossil
Assembla,,,,,,,,,
Azure DevOps Services,,,,,,,,,
Bitbucket,,,Until Feb 2020name=BitBucSer,,,,,,
Buddy,,,,,,,,,
CloudForge,,,,,,,,,
GForge,,,,,,,,,
Gitea,,,,,,,,,
GitHub,,,,,,,,,
GitLab,,,,,,,,,
GNU Savannah,,,,,,,,,
java.net,,,,,,,,,
Kallithea,,,,,,,,,
Launchpad,Import only,,Import only[44],Import only,,,,,
OSDN,,,,,,,,,
Ourproject.org,,,,,,,,,
OW2 Consortium,,,,,,,,,
Helix TeamHub,,,,,,,,,
Phabricator,,,,,,,,,
RhodeCode,,,,,,,,,
SEUL.org,,,,,,,,,
SourceForge,,,,,,,,,
Sourcehut,,,,,,,,,
Name,CVS,Git,Hg,SVN,BZR,TFVC,Arch,Perforce,Fossil
