Driver,Chipset,Integration,Free firmware[47],License,Original/Primary developer,Development,Free software[48]
acx,Texas Instruments ACX100/ACX111,Integrated,,BSD,Ported from DragonFlyBSD,Reverse engineering,
an,"Aironet 4500/4800, Cisco Aironet 340/350",Integrated,,BSD,,,
ath,Atheros AR5210/ AR5211/ AR5212,Integrated,,BSD,,Reverse engineering,
athn,Atheros AR5416/AR9160/AR928X,Integrated (since 4.7),,BSD,Damien Bergamini,Partly based on the ath9k driver for Linux,
atu,Atmel AT76C503/ AT76C503A/ AT76C505/ AT76C505A,Integrated,,BSD,,Reverse engineering,
atw,ADMtek ADM8211,Integrated,,BSD,,Documentation based,
awi,BayStack 650,2.7 to 4.3,,BSD,,,
bwi,Broadcom BCM430x/4318,Integrated,,BSD,Sepherosa Ziehau,Ported from DragonFly BSD,
cnw,NetWave AirSurfer,2.6 to 6.0,,BSD,,,
ipw,Intel PRO/Wireless 2100,Integrated,,BSD,Damien Bergamini,Reverse engineering,
iwi,Intel PRO/Wireless 2200BG/ 2225BG/ 2915ABG,Integrated,,BSD,Damien Bergamini,Reverse engineering,
iwn,Intel Wireless WiFi Link 4965/ 5000/ 1000/ 6000,Integrated,,BSD,Damien Bergamini,Reverse engineering,
iwm,Intel Wireless WiFi Link 3160ac/ 7260ac/ 7265ac,Integrated (since 5.8),,BSD,"Antti Kantee,[56] Stefan Sperling","Based on iwn, and iwlwifi driver released by Intel for Linux under dual GPLv2/BSD license[57]",
malo,Marvell 88W8335/ 88W8310,Integrated,,BSD,Marcus Glocker and Claudio Jeker,Reverse engineering[59],
otus,Atheros AR9170,Integrated (since 4.6),,BSD,Damien Bergamini,Based on source code released by Atheros for Linux under the ISC,
pgt,"Conexant/Intersil Prism GT Full-MAC ISL3877, ISL3880, and ISL3890 chips",Integrated,,BSD,Ported from FreeBSD,Reverse engineering[62],
ral/ural,"Ralink RT2500, RT2501, RT2600, RT2700, RT2800, RT3090, RT3292, RT3592 and RT5390 (ral), RT2500USB (ural)",Integrated,,BSD,Damien Bergamini,Documentation based,
ray,Raytheon Raylink/WebGear Aviator IEEE 802.11FH,2.7 to 5.4,,BSD,,,
rsu,Realtek RTL8188SU/RTL8191SU/RTL8192SU,Integrated (since 4.9),,BSD,Damien Bergamini,Reverse engineering,
rtw,Realtek RTL8180L,Integrated,,BSD,Ported from NetBSD,Documentation based,
rtwn,Realtek RTL8188CE/RTL8192CE,Integrated,,BSD,Stefan Sperling,Based on urtwn driver.,
rum,Ralink RT2501USB/ RT2601USB,Integrated,,BSD,Niall O'Higgins and Damien Bergamini,Documentation based,
run,Ralink RT2700U/ RT2800U/ RT3000U,Integrated,,BSD,Damien Bergamini,Documentation based,
uath,Atheros AR5005UG/ AR5005UX,Integrated,,BSD,Damien Bergamini,Reverse Engineering[62],
upgt,GW3887 (Conexant/Intersil PrismGT series),Integrated,,BSD,Marcus Glocker,Reverse engineering,
urtw,Realtek RTL8187L,Integrated,,BSD,Weongyo Jeong (FreeBSD),?,
urtwn,Realtek RTL8188CU/RTL8192CU,Integrated (since 4.9),,BSD,Damien Bergamini,Reverse engineering,
wi,"Lucent Hermes (WaveLAN/ ORiNOCO); Intersil PRISM-2, PRISM-2.5, PRISM-3; Symbol Spectrum24",Integrated,Yes for Spectrum24[67] and N/A for others,BSD,Bill Paul,Documentation based,
wpi[68],Intel PRO/Wireless 3945ABG,Integrated,,BSD,Damien Bergamini,Reverse engineering,
zyd,ZyDAS ZD1211/ZD1211B,Integrated,,BSD,"Florian Stoehr, Damien Bergamini, and Jonathan Gray",Documentation based,
