Vehicle,Origin,Manufacturer,Mass to ... (kg),,,Launches (+ suborbital),Date of flight,
,,,LEO,GTO,Other,,First,Last
Antares 110–130,,Orbital,5100[11],,1500 to SSO,5[11],2013,2014
Ariane 1,Europe,Aérospatiale,1400,1830[188],,11[188],1979,1986
Ariane 2,Europe,Aérospatiale,,2270[188],,6[188],1986,1989
Ariane 3,Europe,Aérospatiale,,2650[188],,11[188],1984,1989
Ariane 4 40,Europe,Aérospatiale,4600[188],2105,2740 to SSO,7[188],1990,1999
Ariane 4 42L,Europe,Aérospatiale,7000[188],3480,4500 to SSO,13[188],1993,2002
Ariane 4 42P,Europe,Aérospatiale,6000[188],2930,3400 to SSO,15[188],1990,2002
Ariane 4 44L,Europe,Aérospatiale,7000[188],4720,6000 to SSO,40[188],1989,2003
Ariane 4 44LP,Europe,Aérospatiale,7000[188],4220,5000 to SSO,26[188],1988,2001
Ariane 4 44P,Europe,Aérospatiale,6500[188],3465,4100 to SSO,15[188],1991,2001
Ariane 5 G,Europe,EADS Astrium,18000[16],6900[16],,16[16],1996,2003
Ariane 5 G+,Europe,EADS Astrium,,7100[16],,3[16],2004,2004
Ariane 5 GS,Europe,EADS Astrium,16000[189],6600[16],,6[16],2005,2009[190]
Ariane 5 ES,Europe,EADS Astrium,21000[13],8000[16],,8[16],2008,2018
ASLV,,ISRO[191],150[192],,,4[192],1987,1994
Athena I,,Lockheed Martin,795[193],515,,4[194],1995,2001
Athena II,,Lockheed Martin,1800[195],,,3[196],1998,1999[197]
Atlas-Centaur,,Lockheed,1134[198],2222[199],,148,1962,1983
Atlas G,,Lockheed,5900[200],2222,"1,179 to HCO[200]",7[200],1984,1989
Atlas H/MSD,,Lockheed,3630[201],,,5,1983,1987
Atlas I,,Lockheed Martin,5900[200],2340[200],,11[200],1990,1997
Atlas II,,Lockheed Martin,6780[200],2810,"2,000 to HCO[200]",10[200],1991,1998
Atlas IIA,,Lockheed Martin,7316[200],3180,"2,160 to HCO[200]",23[200],1992,2002
Atlas IIAS,,Lockheed Martin,8618[200],3833,"2,680 to HCO[200]",30[200],1993,2004
Atlas IIIA,,Lockheed Martin,8686[200],4060,"2,970 to HCO[200]",2[200],2000,2004
Atlas IIIB/DEC,,Lockheed Martin,10759[200],4609[200],,1[200],2002,2002
Atlas IIIB/SEC,,Lockheed Martin,10218[202],4193[200],,3[200],2003,2005
Black Arrow,,RAE,73[203],,,2 (+2),"1969First suborbital test in 1969, first orbital launch attempt in 1970",1971
Titan IIICommercial Titan III,,Martin Marietta,13100[204],,,4,1990,1992
Delta 0300,,McDonnell Douglas,,340[205],747 to SSO[206],3[207],1972,1973[208]
