Family,Country,Manufac.manufacturer,Payload (kg),,,"Cost (US$, millions)",Launches reaching...,,,,Status,Date of flight,,Notes,Refs
,,,LEO,GTO,TLI,,Total,Space,Any orbit,Target orbit,,First,Last,,
Alpha,USA UKR,Firefly Aerospace,1000,,,--,0,0,0,0,"Devel.Development, in",2020,1E308,,[1]
Angara 1.2,RUS,Khrunichev,3800,--,--,25,0,0,0,,Active,2014,1E308,"As of May 2020, only launch was a suborbital test in 2014.[2]",[3][4][5]
Angara A5,RUS,Khrunichev,"14600–,"3600–,--,--,1,1,1,1,Active,2014,1E308,,[3][6]
Antares,USA,Orbital ATK,6500,--,--,80date=September 2019,"13Number of Antares launches current as of 02 October, 2020.",12,12,12,Active,2013,1E308,"Cygnus launcher. Var.Variants: 110, 120, 130, 230, 230+",[7][8][9]
Ariane 1-2-3,EU,Aérospatiale,,2650,,--,28,,,,Retired,1979,1989,,[10][11]
Ariane 4,EU,Aérospatiale,7000,4720,,--,116,,,,Retired,1988,2003,"Var.Variants: 40, 42P, 42L, 44P, 44L, 44LP",[11]
Ariane 5,EU,Airbus,21000,10735[12],,165–,"109Number of Ariane 5 launches current as of 15 August, 2020.",107,107,104,Active,1996,1E308,"Var.Variants: G, G+, GS, ECA, ES.",[13][14][15]
Ariane 6,EU,Airbus Safran,21650 (A64 var.Variants),11500+ (A64 var.Variants),8500 (A64 var.Variants),115,0,0,0,0,"Devel.Development, in",2022[16],1E308,"Var.Variants: Ariane 62, Ariane 64.",[17]
ASLV,IND,ISRO,150,--,--,--,4,,,,Retired,1987,1994,,[18]
Astra Rocket,USA,Astra,50-,,,--,"1Number of Astra launches current as of 12 September, 2020.",0,0,0,Active,2020,1E308,2 suborbital test launches in 2018.,[19]
Athena I & II,USA,Lockheed ATK,2065,--,295,--,7,,,,Retired,1995,2001,Launch Lunar Prospector.[20],[21]
Atlas A-B-C-D-E-F-G Atlas I,USA,Lockheed,5900,2340,--,--,514,,,,Retired,1957,1997,Launch Mercury. Atlas or Centaur upper stage.,[22][23][24][25]
Atlas II,USA,Lockheed,8618,3833,--,--,63,63,63,,Retired,1991,2004,,[26][27][28]
Atlas III,USA,Lockheed,10759,4609,--,--,6,6,6,,Retired,2003,2005,"Var.Variants: IIIA, IIIB",[29][30]
Atlas V,USA,ULA,18850,8900,2807,109–,"86Number of Atlas V launches current as of 13 November, 2020.",86,86,85,Active,2002,1E308,Launched Juno & New Horizons,[31][32]
Beta,USA UKR,Firefly Aerospace,4000,--,--,--,0,0,0,0,"Devel.Development, in",2021,1E308,,[33]
