Name,Rectilinear lenses (i.e. normal camera lenses),Fish eye lenses,Partial or full (spherical) panoramas or images from panoramic cameras,Different focal lengths in single panorama,Different lens types in single panorama,Perspective correction lenses,Other/Notes
Panoweaver Standard / Professional [29],,,,,,,
i2Align Quickage Express / Pro,,,,,,,
Pixtra PanoStitcher[30],,,,,,,
Pixtra OmniStitcher[31],,,,,,,
QuickPHOTO,,,,,,,PROMICAM[32] microscope camera needed
PhotoFit Harmony / Premium,,,,,,,
PanoramaPlus X4,,,,,,,
PanoramaBuilder 7.0 / PanoramaBuilder 7.0 Pro,,,,,,,
360 Panorama Professional,,,,,,,
VRstitcher Fisheye Pro,,,,,,,
COOL 360,,,,,,,
PanaVue ImageAssembler Std. / Pro. / Ent.,,,,,,,") Circular fish eyes not supported,[33] diagonal fish eyes up to 180 degree field of view."
The Panorama Factory v5,,,,,,,
PixMaker Lite / Home / Business,,,,,,,
PTAssembler[34],,,,,,,
PTgui / PTgui Pro,,,,,,,
Autopano Pro / Giga / Server,,,,,,,"Also supports motorized panoramic heads, in Giga & Pro versions."
Autostitch,,,,,,,
Calico Panorama,,,,,,,
Hugin,,,,,,,"As of v2010.2 onwards, all known fish eye projections are supported (equisolid, orthographic, stereographic)"
3DVista Stitcher 3.0,,,,,,,"One shot" i.e. panoramic mirror lenses also supported.
D Joiner,,,,,,,
Panorama Maker 6,,,,,,,
Photovista Panorama,,,,,,,
PanoramaStudio / Pro,,,,,,,
Stitcher Unlimited 2009,,,,,,,
ADG Panorama Tools / Pro[35],,,,,,,) Cylindrical only
Panorama Composer 3,,,,,,,
Image Composite Editor,,,,,,,
Panorama Perfect,,,,,,,
Photoshop,,,,,,,
AIPR Lite 1,,,,,,,(*) homographic model compensates for these type of lenses
Gigapan Stitch 1.0,,,,,,,
PanoramaMaker,,,,,,,
PanoEdit,,,,,,,
SharpStitch,,,,,,,
Name,Rectilinear lenses (i.e. normal camera lenses),Fish eye lenses,Partial or full (spherical) panoramas or images from panoramic cameras,Different focal lengths in single panorama,Different lens types in single panorama,Perspective correction lenses,Other/Notes
