Name,Connectivity,,,,OS compatibility,,,,,,,Integrated software,Protocol compliancy,
,USB,,Wi-Fi,Bluetooth,Linux,| Macintosh,Windows,,,,MSC,,MTP,
,Mini-B port,2.0,,,,Mac OS X,Vista,XP,2000,9x,,,,
Archos 105,,,,,,,,,,,WMP through MTP,,,
Archos 405,,,,,,,,,,,WMP through MTP,,,
Archos 5,,,,,,,,,,,WMP through MTP,,,
Archos 605 WiFi / GPS,,,,,,,,,,,WMP through MTP,,,
Archos 705 WiFi,,,,,,,,,,,WMP through MTP,,,
Cowon A3,,,,,,,,,,,jetAudio,,,
Cowon D2,,,,,,,,,,,jetAudio,,,
Cowon Q5W,,,,,,,,,,,jetAudio,,,
Gigabeat T400,,,,,,,,,,,WMP through MTP,,,
GP2X F-200,,,,,,,,,,,,,,
iPod classic,,,,,,,,,,,iTunes,,,
iPod nano 4G,,,,,,,,,,,iTunes,,,
iPod touch 1G,,,,,,,,,,,iTunes,,,
iPod touch 2G - 5G,,,,,,,,,,,iTunes,,,
iriver clix 2G,,,,,,,,,,,iriver plus Rhapsody[89],,,
PSP Slim & Lite,,,,PSP Go only,,,,,,,Media Go,,,
Samsung Galaxy Player,,,,,,,,,,,WMP through MTP,,,
Samsung T10,,,,,,,,,,,EmoDio,,,
Samsung P2,,,,,,,,,,,EmoDio,,,
Sansa Fuze,,,,,,,,,,MSC,WMP through MTP,,,
Sansa Fuze+,micro B,,,,,,,,,MSC,WMP through MTP,,,
Walkman NWZ-A810 series,,,,,,,,,,,WMP through MTP,,,
ZEN,,,,,,,,,,,Creative MediaSource,,,
ZEN Vision W,,,,,,,,,,,Creative MediaSource,,,
Zune,,,,,,,,,,,Zune Software,,,
ZVUE 260,,,,,,,,,,,ZAPP,,,
